dt,hr,med_spread,med_buy_sz,med_sell_sz
20241009,18,0.016909982526347456,324735.277445,313858.07022999995
20241210,5,0.006688739507043628,247005.11188999997,239924.96913
20241025,6,0.014044943820201716,357407.14771,362129.37349
20240727,15,0.012702714146595184,174262.50285000005,158096.93998
20240830,0,0.019885987007817185,225953.49724499998,228018.25363499997
20240927,4,0.00958221540821036,206357.04544000005,205978.93146999998
20240823,11,0.011842728564670502,245562.4927,236753.74030499998
20241010,0,0.011566042100397134,361982.356665,365168.00196499994
20241011,14,0.020919407980768412,325224.46819499996,293958.62334000005
20240912,17,0.02043457530140902,205948.82999999996,168914.04285000003
20240404,7,0.010188931908827747,187429.34387000004,231289.14572000003
20241007,4,0.014980525317076498,343359.01934999996,323042.48347000004
20240417,19,0.012472715933875556,180653.29642999996,165990.77492999999
20240509,0,0.007441445128653079,162271.58483999997,174179.64528999996
20240525,2,0.0043506634761714125,131603.42593000003,157148.38736000002
20240528,21,0.004321521175443266,140203.73946999997,233946.24247999996
20240518,9,0.00805088157478373,171933.564855,182065.77292999995
20240512,1,0.006864713655629906,182597.74566000002,133071.46426499996
20240923,9,0.01760770043433002,265227.17791,225040.02805999998
20240914,15,0.013096719271832313,290795.70544,232484.76782000004
20241012,12,0.014926858393882192,350500.1191499999,359594.95118000003
20240714,4,0.01634075930061485,137616.05044000005,185710.426745
20240611,17,0.013345611355142228,187647.89828000002,174805.26847
20240915,13,0.012973533990656705,291849.62961,234849.13541000005
20241030,8,0.009655305590428043,268654.0742,241579.64320000002
20240618,11,0.022123078087676884,200663.82223499997,249333.39824500005
20240423,1,0.018409271796449023,83345.546415,82773.63201999999
20240601,3,0.006086427267182337,188408.52391000002,161529.27797999998
20240819,18,0.01364442625186868,194314.46314000004,193614.39218000005
20240711,12,0.015522326279304721,188365.50306000002,196478.65031
20240630,18,0.01631254842786589,244859.81045,239548.58094000004
20241014,7,0.017291315436818167,294356.59907999996,291258.53846999997
20240819,10,0.02017010120947127,151611.456965,189619.02738999997
20240617,9,0.012260348503290164,223520.14008000004,210107.0747
20240711,3,0.015358623867300913,129347.14052999998,218390.35803000003
20240403,19,0.01028670517720931,196755.21644,225012.69548
20241104,11,0.011728829462809287,358119.71427,364169.02977
20240427,7,0.01271563599372083,155096.78152,149000.81116
20240908,18,0.0073179656055577524,264026.18281,239410.52450000006
20241006,2,0.010903936321016161,365436.136085,316042.47332
20240906,4,0.007146430358040412,217911.05775499996,248730.89823999998
20240925,4,0.010727887142625292,277170.63733,231256.76299999998
20240915,8,0.006464541987205585,279464.39336,219169.67820000002
20240503,20,0.011583458820796366,170136.75473500002,93327.62901
20240426,10,0.00843632682330231,105383.67929,132931.30690999998
20240416,15,0.01851052014563148,158211.53311000002,150605.49924
20240402,7,0.012663036596172184,227568.18688499997,201858.71645999997
20240829,23,0.013486176668919825,242851.40283500002,227777.056255
20240816,7,0.013239772275919215,189533.09987499999,240092.11452999993
20241024,4,0.008795074758127797,351767.08387,298070.36270999996
20241022,22,0.008813290441977983,328894.3426,336165.10639999993
20240404,19,0.010016168958459915,231169.3522,208818.69848
20240407,12,0.012466064601923676,152991.54262000002,205744.54457
20240930,8,0.010042177143998465,241924.73026500002,240326.49135000003
20241122,3,0.013318534961159756,198828.98378,173826.410535
20240925,23,0.018924609183856855,238748.02541999996,230087.35541
20240812,16,0.017699115044256253,120048.55433,203056.55670999998
20241130,6,0.006885155604519078,255996.014265,202682.227915
20240822,10,0.012260912211869979,182178.52894000002,152776.00203999996
20241118,21,0.021032705866907975,237709.623035,240571.38175
20240831,19,0.013507125008449528,231939.50530000002,275158.6962
20240531,14,0.010350895352462253,192041.84063,193472.63327000002
20240513,11,0.010462257406418374,166161.46312,176037.601455
20240511,4,0.0069368572568118125,144164.659595,126509.804535
20240518,5,0.011936497831532833,176121.52461999998,147950.17150000003
20240522,12,0.013722530455706483,179999.281005,163198.08029999997
20240531,9,0.008241475238057738,179641.31811499997,187949.85355000003
20240912,9,0.014082523588232476,268247.046665,198505.40488000005
20240819,2,0.013299640909703037,184693.5884,258250.24636
20240416,16,0.017101690929699487,151773.09291500002,148446.55556
20240817,2,0.013512600499954175,235527.72126,247443.99082
20240610,3,0.009536979638546939,188096.03407999995,169124.82275999998
20240831,13,0.006650704974719979,216578.662295,229007.03493999998
20240615,13,0.011565038887439982,270157.71438,239923.36114000005
20240615,7,0.01148798070018664,253320.47935500002,299699.60326
20240606,3,0.00407157834736438,201228.15641,127333.805215
20240714,23,0.010750376263168882,190627.97964,183025.903505
20240706,5,0.016438356164383272,158728.42731499998,177585.40518
20240710,22,0.010352502717525525,172803.26526000001,218289.82743000006
20240629,21,0.01160137669669048,170920.17304,235675.58391
20240625,10,0.013753266400762243,203536.48184000002,228028.69923499998
20240711,6,0.010233057900221887,143789.07262000002,214162.00643500002
20240917,23,0.013506212857938849,267746.00557,213882.16592000003
20241006,10,0.010768319603715604,394137.1170249999,312072.967475
20240924,23,0.01640823694721849,276834.815435,168166.22629999998
20240815,20,0.013524479307558401,226233.00831000003,228078.36820999996
20240803,0,0.015780337699222713,171623.77569000004,167888.27229
20241110,17,0.009093802573545418,244888.83252999996,191610.85892000003
20240808,2,0.01831166453030164,144018.30281500003,132062.50402000002
20240817,18,0.013445378151266674,212058.9212,201937.68651999996
20240820,13,0.00645452785130729,183316.939335,260280.90871
20241022,16,0.009109127345596768,350459.70484,360670.69113
20240804,15,0.018387986515477905,175405.50183,153996.01687999998
20241202,14,0.0030883738175169206,186366.77639999997,172942.939695
20240417,7,0.012142553579019832,145636.92129,129950.50384499998
20241120,22,0.009312287563445487,241657.45362000004,196908.41452000005
20241117,2,0.02669157880688111,194083.89461999998,183553.07833000005
20241112,3,0.011095084877399408,148897.41119,148605.933095
20240926,5,0.009638089730623633,205094.82796,174997.68259
20240825,14,0.010880208900010402,223208.20283,166894.48116999998
20241022,0,0.01315443304392705,265652.454325,325534.81129999994
20241030,13,0.00997605746209107,275048.9679350001,252456.89272499998
20241117,18,0.013281976358081593,216536.08162000004,220156.55262
20240413,4,0.01098006208237745,254434.53890500002,265234.47450499993
20240828,23,0.013269639065804917,243615.943495,214639.93572999997
20240502,6,0.011228637517146645,146377.5418,190615.93014
20240522,20,0.02133767846057566,185527.33497999996,174301.44052
20240506,4,0.010208943034095697,145323.55086999995,132642.85766
20240527,12,0.006504770164794671,176230.24518,318382.32795
20240508,18,0.014481210629213592,134424.20201999997,164371.09901000003
20240730,12,0.017490926581831268,135124.6435,176819.00217999998
20240422,11,0.00722386766109917,114221.54313,129455.77621000001
20240903,0,0.006774608766346724,235029.46996000002,291594.04994000006
20241020,12,0.00845183513866754,350570.36785000004,327999.30781499995
20241025,3,0.013696441215160782,318797.78031500004,326130.15799
20240428,21,0.012402075280593117,149682.96167500003,116492.83474000002
20240918,20,0.01334846158980163,293711.81813,290056.34518
20240602,4,0.010361191122520985,186053.47789500002,170007.00108500003
20240611,5,0.010034367709410574,144350.87547,196668.83770000006
20241003,6,0.012361703442742566,358285.3431,302561.38956000004
20240406,1,0.01281102317371996,167848.950405,190393.47561999998
20240921,4,0.012654223347041693,265890.72835000005,275237.85539
20240614,1,0.013724198506803731,195303.44442999997,256275.00931000005
20240628,23,0.011287106362156685,170393.97022000005,232242.48466999992
20240726,10,0.008408307407714588,152579.25795500004,135226.62325499998
20241102,12,0.010900370612598742,313762.57823,242153.167705
20240830,11,0.01327580484566937,225753.69966999997,215612.40147
20240710,0,0.015757957768669506,209301.96651000003,190842.22988
20240705,16,0.026769461398434835,185049.91900000005,186723.73165
20240807,23,0.01923076923076028,164097.12769,179761.17391
20240806,10,0.017753580305357453,208838.49748999998,203980.18548500002
20241015,12,0.01633586539246945,262727.66254,280330.05922
20241007,23,0.015334287466783891,354626.58999000007,317548.06504
20241102,20,0.01108893324461846,332579.4554499999,304063.96644
20240603,1,0.00851553019820539,188257.16797999994,180285.37366
20240804,22,0.017944730230889938,187273.62389000002,162058.38167
20240902,11,0.006875214850454725,197721.25461000003,193406.36070999998
20240830,15,0.020658311527332884,228386.21407999998,247174.39367000002
20240721,2,0.007584663809789838,244907.75463999997,217610.68592000002
20240411,8,0.007285762163578013,199400.05442,212585.385385
20240408,6,0.009799529622589453,205169.37989999994,204290.31108499996
20240823,0,0.012182122746184909,226228.49844,141421.92507499998
20241128,21,0.009850922703091847,216552.95248000004,248672.38679
20241020,20,0.01258706050182301,307880.01058999996,322129.48467
20240412,16,0.015302921327675634,163313.52281999998,207570.54650999996
20241015,6,0.019731649565901677,206664.06190500004,257448.85418000002
20240413,23,0.022603467371884456,160661.87417,149238.6957
20240907,8,0.007366482504611582,295921.2433599999,243707.77954
20240901,18,0.020483408439186945,232923.35340500003,276067.79617
20240404,13,0.012837886028105316,191883.50011999998,230800.49349999998
20241023,0,0.008660633092283376,330979.85635,300238.76507499994
20241016,18,0.013535462912828145,306749.20792,295536.47092
20241203,10,0.006015399422532042,170100.54271999997,188052.27902000005
20241104,0,0.011615750958293702,276117.84047,267863.69889999996
20241109,21,0.00497735304363367,271602.86777,174078.64768000002
20240503,12,0.017133189128992754,151266.27025,179454.07705000002
20241006,18,0.005127021972661794,360907.72196,280122.6170099999
20240918,6,0.01338419326775142,212371.51548500004,245860.94399
20240809,21,0.017391304347813552,176966.37513499998,169682.03445
20240919,23,0.01871490954459265,297424.68094999995,263091.45664
20241107,21,0.009919650828282833,230394.01325999998,192548.71203
20240508,2,0.013582112358023757,125823.03727999997,146947.47065
20240531,17,0.00825184635062648,189908.5711,183463.94568499998
20240812,0,0.018662519440115766,180557.19885000002,163512.83084
20240818,17,0.013021681099023574,157834.43822999997,188969.29614
20241023,11,0.013536684414749978,342776.82216999994,363288.07015000004
20241020,3,0.00844273713538346,311205.77557000006,315119.73386999994
20240608,2,0.004482094034319317,203316.3323,197627.11657
20241018,22,0.01267962806423828,297890.673575,266644.63172
20241209,7,0.0056382498872409315,205863.45182000002,251159.43430000002
20240730,3,0.008766546857197355,153276.928855,172696.359765
20240607,15,0.010125967029850358,177835.30313000001,181604.740875
20240628,4,0.014332037519670937,218436.05841000003,216816.80950000003
20240623,0,0.010106454655711694,210421.081045,222583.12406
20240619,5,0.014062719730012496,192262.34956,218707.90936500003
20240917,4,0.013984058173677205,274897.596805,277566.52814000007
20240727,16,0.01670006680025704,169053.14643999998,178555.26026
20240904,13,0.014698317042705078,269970.286715,248818.47299499996
20240705,0,0.036576444769576,141020.77954000002,173587.05207
20240703,4,0.009138261902585931,190858.15197500002,265122.986225
20240707,21,0.015676438313216856,138096.59290000002,157290.72870999997
20240619,17,0.014159292035387239,211803.27010000002,233865.76146
20240614,21,0.011549678052724666,245347.64297999995,260231.65721
20240912,14,0.021141649048628253,259968.78071000002,216505.968115
20241008,1,0.01526484506182424,352224.65798,318039.56078
20240914,16,0.013130252100834738,285107.00445999997,228055.79163999998
20241118,1,0.013297282921853615,215495.65386000002,189678.62761000003
20241121,10,0.014391940513314161,225102.75049999997,238032.85956
20240731,21,0.014116982730216776,154450.67153,169779.91065
20240914,0,0.013163090693701918,288947.59044,227694.66275
20240826,2,0.016505735755667494,218085.702905,224680.267995
20240822,2,0.019153418885275997,227973.77888999996,206512.49120500003
20241122,20,0.009307737061470256,277193.70578,206126.943255
20241013,7,0.01469291801352579,319768.7701999999,340509.2206
20240923,14,0.02298322224776328,248184.71309999996,221967.78249999994
20240820,19,0.013031013812869752,188840.26270999998,230488.55544999999
20241119,1,0.012577561630044976,250900.05359999996,248057.38976999998
20241106,21,0.010364305332433155,251072.29964,234809.55767999997
20240804,11,0.017112543494368637,175862.16326,207735.39740499997
20240902,15,0.013707079706670733,205651.00649499998,227240.882095
20240815,6,0.012728314134791141,214172.33815999998,278078.08669
20241116,19,0.012505210504376585,249264.472975,216103.58318000002
20240430,4,0.012583628699069926,173562.99250999998,151524.66963000002
20241022,11,0.013340448239040903,363532.3837099999,351334.07708
20240923,17,0.011510791366897699,252992.36287999997,234979.20294
20241119,21,0.013184495033846666,235222.01559000002,196239.80037500002
20240504,21,0.009835549610515137,156234.97364999997,172062.21542
