dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.021555655043181687,502235.77328999987,529251.44828
20240402,0.021707186748609608,545050.9299100001,551253.79633
20240403,0.010492445439269638,502235.07795999985,504317.94365
20240404,0.006711296790307131,510756.26908,514224.23942
20240405,0.01192463629859919,531817.2252,518580.07832000003
20240406,0.011855364552459946,450771.3010600001,443446.61707
20240407,0.01342935320878258,420823.19494,432192.93858
20240408,0.011499540018400367,416527.72488999995,439096.7379000001
20240409,0.009789285627537225,471201.01824000006,463786.09901
20240410,0.01159324279562668,528186.51463,554718.61847
20240411,0.01293953999934594,529699.68871,556483.4754499999
20240412,0.011758579563592164,526051.90943,545947.69774
20240413,0.016665123599657328,523054.7267450001,584499.03465
20240414,0.026119627895759834,244590.17953,253300.180085
20240415,0.021873353286649966,203904.79997499997,220469.14798999997
20240416,0.02240188990489944,311078.663335,351076.6457
20240417,0.024076080423796054,286314.97934,346598.375245
20240418,0.013968431345157128,303806.83722000004,302281.36964
20240419,0.016377836694203562,268599.82696,266352.174275
20240420,0.015575110972654294,288868.70395,311300.79133999994
20240421,0.017061287937658598,304324.7344,309462.22514
20240422,0.01869770485836142,275205.860155,328627.4916549999
20240423,0.019921761808183724,304748.55880999996,327162.058675
20240424,0.018319044478642965,339989.79249,342000.95502999995
20240425,0.009681479330048148,291939.57043,308002.9531300001
20240426,0.009540528163642925,258193.26669999998,312895.39043999993
20240427,0.019280081747541367,369988.06201,386620.29839999997
20240428,0.017377201112123153,360402.00517,341659.28378
20240429,0.017542833752415277,334981.65802,362473.41235
20240430,0.01618712314355175,349513.72326500004,396966.43781000003
20240501,0.02194032232327725,363616.09596,409294.46585
20240502,0.015640579483466865,375465.37946,382824.19163499994
20240503,0.013585901715718052,413096.97393000004,407550.7227299999
20240504,0.01308240043356168,408523.592,393654.12590499996
20240505,0.01134644478062441,398460.91050999996,388741.95360999997
20240506,0.014978748900018601,397375.15067999996,389632.863795
20240507,0.014818656688775356,571872.1196300001,606147.18117
20240508,0.01531862745096646,382075.8031100001,410704.1373799999
20240509,0.013538604363283469,368990.79929,419092.61319
20240510,0.01194719340513739,389253.37830999994,419837.22623000003
20240511,0.013854527461654165,405422.5794100001,427686.76633000013
20240512,0.013876636701104506,378886.74467000004,428000.5927400001
20240513,0.015775669972994955,379522.72909000004,427776.70716
20240514,0.013894126754143699,649236.5916899998,693167.4253099998
20240515,0.01362026695723717,449562.21579000005,448618.5743799999
20240516,0.013493715783785554,435394.42194,416877.42235
20240517,0.013407650022001505,427259.65734000003,423018.5256499999
20240518,0.017188693659297982,416831.7642650001,414455.50027
20240519,0.01725757895341129,420486.77264999994,429319.27856
20240520,0.017552755782657137,615874.32766,622261.96875
20240521,0.022156573116682843,402479.38135,431571.26689
20240522,0.01872729315703925,345726.54773,438858.70243999985
20240523,0.020894274968652482,432711.49557999993,432440.43396000005
20240524,0.024381552542229734,424869.66549000004,479776.24437
20240525,0.018644541810375337,434887.30326,458042.71918
20240526,0.02073085693823362,364949.02148,461881.41292000003
20240527,0.022566571385596035,409849.71849999996,431407.6077199999
20240528,0.0263603841084592,406898.56354500016,390197.15221999993
20240529,0.022684738841949326,395160.228195,406239.53268
20240530,0.02282844424152941,440964.62616999994,419820.67457
20240531,0.019267822736024343,395077.65786,400948.92013000004
20240601,0.023012311586700918,394101.3153400001,394757.37636000005
20240602,0.023209484942854353,390486.12984,402999.58712
20240603,0.025081031023299616,372865.14511,356594.56572
20240604,0.019009238489897662,384926.5161400001,395843.87533
20240605,0.0190222560395803,382402.69446,397514.42899499997
20240606,0.01912082448998209,389613.7293400001,404003.75680499995
20240607,0.020990764063832934,372344.62286000006,399657.681205
20240608,0.020032853880369572,337345.03968000005,422539.121975
20240609,0.020228992191606565,409030.96466999996,405342.33156000014
20240610,0.02210433244915766,384379.47481,393914.64356000006
20240611,0.022577069906826175,350937.09299499996,392705.88593
20240612,0.020274928024011096,367652.57829000003,419437.66706
20240613,0.02252298368108363,405909.4166100001,411096.71910999995
20240614,0.022971223322065804,399717.04322000005,452771.53506999987
20240615,0.02292430810268975,402419.66938,464631.47478000005
20240616,0.024468822641798837,416153.82206,473861.52769
20240617,0.02458260780497934,388580.3247800001,465104.14489
20240618,0.024313646033835568,526186.11486,548722.1992
20240619,0.026240361713281146,401065.75595,374377.39943999995
20240620,0.02624512950961666,388863.67081000004,368312.87744999997
20240621,0.026566395553206945,388640.2545599999,373154.6044
20240622,0.02666010417948783,390459.74546,357378.3769699999
20240623,0.026639344262302522,388950.8240400001,364237.62165000004
20240624,0.025136680701320913,389675.96947,394060.8166399999
20240625,0.01883672743256959,676703.38744,797756.53107
20240626,0.018944177822688424,334578.99777,377403.0636599999
20240627,0.023424190800680478,371554.95360999997,382697.74756
20240628,0.02293338892942476,377559.30195999995,388641.00255
20240629,0.021110407430868783,353452.62970000005,398478.37455000007
20240630,0.02534586545570594,353987.9397,394778.53344
20240701,0.02502450315935434,378209.0437800001,384607.74803
20240702,0.022939127896060008,391256.2037249999,385294.15448
20240703,0.024830839903167146,366241.41717,378308.83627999993
20240704,0.0224049470122889,344683.97442,381453.97910000006
20240705,0.024707219449515705,325549.2688000001,342633.4906
20240706,0.020077633516280002,317584.61256999994,336551.99058
20240707,0.020176205528277258,296112.90657999995,332064.76343000005
20240708,0.020842017507294308,482465.39412,459005.3201499999
20240709,0.01850181549065688,323896.66847000003,328810.96762000007
20240710,0.0184060371801964,318049.03256,328571.87463000003
20240711,0.01778647338697148,318217.2747800001,288012.57229
20240712,0.019936645770113337,323142.6986,298772.5587500001
20240713,0.02468479416679603,521580.50473,484132.599025
20240714,0.02089268755935958,450229.07,540026.30608
20240715,0.02100138418404951,541522.9633,668823.37035
20240716,0.02566076469079359,543631.63322,543833.7282750001
20240717,0.024261637498779187,432948.85285,406605.50695
20240718,0.02123827300202219,332837.38188,454993.77518500003
20240719,0.021622011207411695,387919.01915,453529.6768649999
20240720,0.02360200279851732,397172.41751,406706.81859999994
20240721,0.02353811493325253,399586.9112900001,451780.2713800001
20240722,0.020171796466583736,388853.53911,380916.808005
20240723,0.019709611720641895,406832.1873400001,426017.9033
20240724,0.0199936686715807,409785.02235,430173.77470999997
20240725,0.0216403375892682,358588.860455,370489.73361000005
20240726,0.0198751180085166,385374.2962399999,407582.65035999997
20240727,0.01833577810372855,430669.32238,395310.90173000004
20240728,0.013320900492863608,385602.45170999994,377382.37426
20240729,0.013134563604144667,291988.8265,324330.72531999997
20240730,0.022218166526555283,298908.02298500005,301760.7669449999
20240731,0.02295051868173026,324989.39314999996,316811.18026000005
20240801,0.01697937007025807,252300.189175,278644.113715
20240802,0.019546173392326338,261794.80990000005,226433.29755
20240803,0.022819027558362848,296727.441385,245227.33413499998
20240804,0.021927019569867312,266367.38398000004,301530.51653
20240805,0.02997666102819707,277555.96081,255620.80154000001
20240806,0.027369943891630832,343113.88289,300245.76142
20240807,0.027163895302595442,225882.63604,230192.89366999996
20240808,0.026009070663390865,255444.11158000003,256150.99756
20240809,0.02426556231396315,250567.57758999994,267423.12995000003
20240810,0.021888838376171726,286303.22968999995,268907.47458
20240811,0.021069265209372467,325865.5487300001,320325.98546999996
20240812,0.021609940572675512,341508.01997,337897.19175
20240813,0.022585128561503076,348698.73136999994,302966.30231
20240814,0.020707506471095982,398684.9421750001,374695.96751499997
20240815,0.021021284050104505,369436.1048600001,387179.04812999995
20240816,0.015872455998033885,397622.14369999996,397710.29636
20240817,0.014195471644562474,407419.23256,400607.78797
20240818,0.01749444551357726,322161.20555,377060.23803
20240819,0.01764633220984191,358558.63794000004,389938.90160999994
20240820,0.016427644440053513,375225.45887,404554.08063
20240821,0.01672604412330525,443233.59793000005,411507.52978000004
20240822,0.015067048365202673,457453.4447500001,317723.29389000003
20240823,0.020056157240277983,296899.35727,259378.92904999992
