dt,hr,med_spread,med_buy_sz,med_sell_sz
20241015,18,0.016540773005457865,369253.29759,393623.78333
20240826,6,0.02183222772691451,291480.350205,327447.17963999993
20241018,7,0.01634135270087711,421934.41029,363437.71264000004
20241123,13,0.006528693608398584,555697.068,659142.1177000001
20241120,19,0.01843997787203122,524644.672,589091.8746
20240811,21,0.019818034411311913,432275.20233,395540.98459
20240418,21,0.009961151509108035,313290.47601,290983.3164799999
20241019,4,0.007313951362220017,371940.60325,389099.2500799999
20240409,4,0.006521242948887007,417414.85234000004,465229.699395
20241015,2,0.010860711376592391,388160.32674000005,326621.18021
20241026,14,0.015696739002457605,401691.96525999997,396772.78276
20240727,8,0.01832722425858524,479672.10336,422964.74022499996
20240719,4,0.021533933890816037,414733.5497899999,470464.16313
20240428,17,0.013486436498144627,313997.55275999993,381600.22829000006
20241022,19,0.020617783775689347,358166.8129299999,405588.48763
20241108,13,0.02536783358699779,363950.3971800001,254379.01775999996
20240809,14,0.025954700396235708,201048.54770999998,284336.08790000004
20240405,20,0.01357842388445274,442641.0729300001,447481.48571
20240918,18,0.01905421791669193,596928.1627300001,568100.9897400001
20240528,5,0.028569251866539247,403389.39998000005,393041.1569400001
20240521,23,0.02239976106921393,325960.53435,431010.65395999997
20240528,14,0.030119914911241885,389992.72438,392651.37489
20240524,23,0.024309970828029215,374957.66355000006,454289.19267
20240527,18,0.0241411327762453,410252.93715,405192.58820000006
20240508,3,0.013350880204443527,375896.14446000004,413258.06785000005
20240801,4,0.018213277540435335,183773.10661,203394.32415
20241110,21,0.01205296416826318,306698.74089,373115.519185
20241002,4,0.01830861670080175,454731.67552000005,401696.11511
20240730,10,0.0429560098639703,199249.10259000002,202140.64411000002
20240806,3,0.025358926342056165,296414.08254499995,272200.262925
20240605,3,0.018998043201556847,388827.55347000004,401780.00032999995
20240603,14,0.025017319682851813,388151.74123,314121.79424
20240820,15,0.01529909735327184,361787.42441,372267.0709
20240607,19,0.02632324950389009,336448.17490000004,417911.43429000006
20240615,22,0.02646472049183668,396809.20432,459350.0363
20240618,19,0.02515037830361777,604634.5003099999,677168.9665099999
20240626,7,0.021128248505941638,335704.17078,366087.15545
