"coin","MED_BUY","SD_BUY","MED_SELL"
"ETH",1896468.3329021,427791.139731351,1861973.84289922
"BTC",1495663.78786716,439093.850177689,1441348.38329324
"SOL",1405372.5406972,367977.889439283,1353089.03097424
"XRP",613553.749474666,326226.416582243,669311.390265236
"BNB",589365.178398734,341886.37247035,552363.156169234
"kPEPE",474590.348459444,181050.295479045,565940.70992032
"MATIC",442770.753521637,132579.285611267,445058.379375724
"BCH",432603.100596932,188992.834586634,445978.334900437
"CRV",444854.066751649,157970.565357502,419657.803343014
"AVAX",416008.650263007,173922.86513954,424545.657299675
"LTC",400619.276763062,203495.795799494,414777.286067732
"kSHIB",404460.523947032,259191.155888567,402140.922210059
"DOGE",392286.997198236,335417.883851032,398109.938943532
"WLD",373194.052293984,206345.571980651,413473.184877521
"FIL",396935.140726037,174208.627949916,387569.067979243
"DOT",374728.760702904,145406.526545669,389919.723285846
"ARB",368754.39161679,94139.6575270168,388359.224191798
"FTM",422004.8044872,287469.825348174,330149.42633757
"UNI",373850.484426763,227139.456105562,369046.629642756
"TIA",379574.520498878,94336.7115976907,354170.812882573
"ADA",373721.553693915,162723.78434332,357575.108051005
"ATOM",345252.498130343,192416.217377057,376719.038982839
"LDO",365075.194451478,168773.802308088,316545.360531778
"LINK",346544.964804648,171666.252520787,325221.587458053
"kLUNC",320221.314475584,114675.125533894,339683.295710934
"GMT",323448.116635519,266080.762233781,327621.18368683
"APT",322702.320381319,151857.000112002,325807.858336097
"ORDI",317312.637000063,146143.529749032,325799.440460037
"INJ",325128.551628837,157152.545454072,317131.148039258
"OP",315216.222285227,112225.518526247,311332.100855166
"CFX",304381.716864744,282453.914681446,302737.51441995
"DYDX",307077.452476672,124536.263300617,288469.793077067
"AAVE",306670.158188789,268196.224224556,285746.89884723
"MKR",289115.670362708,141247.65914535,291527.40811539
"SUI",284570.204720931,154587.583636713,275954.454614318
"BLUR",270995.6067144,124145.360865636,275901.91522494
"TRX",259561.505549222,273096.740375796,281139.746492921
"TON",255031.508851749,109477.60057691,280544.088164878
"SUSHI",274612.241029006,96298.0589691584,252046.938544613
"JTO",253705.800085878,101308.178481465,249046.740392124
"GALA",249197.930414139,308486.481478175,248438.623287276
"IMX",249675.915974998,94120.9381637781,232533.532563859
"MINA",244519.588363547,99234.4514249897,232950.015248763
"SEI",239839.882086854,71303.398599868,235438.513457778
"USTC",231636.316814462,130784.884766471,238514.62090954
"NEO",230104.739423234,104632.583946576,229646.823415275
"CAKE",228778.361758121,96200.6194445086,224905.713704923
"NTRN",223197.3356185,114324.412091893,219801.669118508
"FET",219623.00119537,98750.2910022131,221922.010481192
"SNX",223833.662466524,86698.4964967438,193278.345378886
"NEAR",201425.311126154,92654.416634939,196588.294919421
"PYTH",194923.374776082,95143.1906085561,199730.653365772
"RNDR",182925.647282433,83471.9518906625,190865.710983316
"RDNT",185153.067033643,50305.1199935523,187076.180028436
"kBONK",182990.920190487,110025.152276103,187638.199009929
"APE",187062.036059212,322279.723764655,172397.890632509
"KAS",184509.430898246,56725.6216930089,171434.559787497
"STX",178899.2417846,97522.5048887249,176998.503828193
"COMP",172922.526947984,148000.055881987,170169.652916243
"BIGTIME",168976.05773904,54369.5271131862,165956.486148046
"RSR",167264.34878731,27298.517521731,159037.729963054
"MEME",171882.95702596,114417.767080292,149727.714863686
"STG",157916.311491161,56888.6581506601,160357.140246947
"OGN",152695.420190539,36369.3668515518,158781.798845244
"JUP",148831.080070465,73851.7080412829,159303.678261216
"GMX",153556.22467892,124834.461104999,150055.801662313
"ACE",144984.716490691,56602.2345195466,155414.188048325
"SUPER",142557.041396001,34001.7653883849,143763.511342418
"WIF",142452.351687583,36240.8546590987,138809.765628026
"YGG",136437.222657284,37485.5891351001,137466.965644216
"LOOM",135040.729378222,29669.8789552098,136069.123925138
"ZEN",127853.060981309,39724.324963545,139239.756361516
"ORBS",127647.901357265,35458.7649374049,139368.621251209
"CYBER",124425.827848231,35805.8151224071,133479.101333078
"TRB",130661.422127207,35290.86761043,124261.815028458
"ARK",123714.731618824,41004.0429448758,126484.191182202
"GAS",123808.905090227,37163.8910088327,125614.0844582
"POLYX",120828.278049664,38438.1262037133,120223.479015338
"MAV",118491.346715422,38140.4236367189,122176.931017633
"BLZ",120845.234015607,36171.1304461534,119670.723330056
"STRAX",120457.579695561,35534.0371227686,118896.399297586
"ILV",115304.598082814,35092.7820215423,117386.856577758
"BNT",114020.364023139,37822.5566736539,114702.063965078
"BADGER",114457.814293022,42024.2127163937,110831.896247741
"BSV",114839.692572208,29189.4825008139,104931.326309129
"FXS",105296.268562304,41001.3079172311,107144.262083661
"RUNE",95947.1365725853,32161.3302803208,97532.5351614663
"PENDLE",84122.4677569784,31024.5948276847,74592.8547615936
"FTT",75147.9523618168,81805.7234048567,74087.1346324395
"CANTO",30460.3252189076,15810.5191427659,30096.0229765397
"REQ",30117.5000198193,65849.2935111414,28680.4065182751
"ZRO",22407.4957279354,10298.5410593709,19642.2029860144
"RLB",17535.2764448845,16383.7578742534,19202.9891252458
"FRIEND",19140.087490455,7329.44009423786,13843.7146557831
"BANANA",16306.1752014748,6649.23753631421,15993.3756578234
"OX",17900.8720892476,10978.4942744437,13981.5788960564
"HPOS",15904.5584994505,6012.56929397274,13788.5881468403
"UNIBOT",14211.0851319385,6327.63419137062,15172.695017073
"NFTI",15216.837695439,15100.0910987023,13918.1933611178
"SHIA",10230.9111626905,2856.03205339985,10453.0621110924
