coin,dt,avg_buy
RNDR,20240427,94049.38613424498
TIA,20241003,127884.26679377489
W,20240414,56567.44265703521
ARB,20240824,177302.57902398484
LDO,20240805,136078.09272001064
LDO,20230830,550143.5913776766
ZK,20240921,101946.3195133762
MKR,20241130,164161.3531418707
TIA,20240730,103488.72696224597
MYRO,20240327,169720.20882666242
FTM,20230911,632146.8146780801
BNB,20241106,234228.33971475356
TON,20240127,149465.39971811016
UNI,20241121,119367.20989143295
ETC,20240901,201111.11227246738
TNSR,20241124,78028.81696325161
AI,20241202,56391.82278275989
INJ,20240831,236890.32071358393
FTT,20240116,262837.7193877874
BTC,20230418,30828.280895746233
CATI,20241005,141120.80716875396
MKR,20240310,246108.57477780234
BNB,20240802,373973.94804297714
BLAST,20241008,175340.9283678758
FTT,20240419,26541.683040844506
LDO,20230630,108438.22642786751
LOOM,20241121,61216.94461610714
kDOGS,20241110,163875.46659151965
SNX,20230807,199066.7159594415
BSV,20240227,56828.64461558975
REQ,20241006,24671.674370897686
kSHIB,20230815,482788.50922922
BADGER,20240227,80251.87856499829
IO,20240815,292061.3046543453
ARK,20240919,71981.54477647011
LTC,20240309,368196.4276867676
LTC,20230727,492743.2578142192
RUNE,20240320,179659.88539253268
RNDR,20240119,189556.00088410842
FRIEND,20231115,45615.49124344651
IMX,20231213,417035.95583762426
APE,20241019,93662.6078748227
ETHFI,20240911,190273.92735162066
SHIA,20240106,11472.334715351342
RNDR,20240815,0.0
KAS,20240118,185390.72650014953
MERL,20240814,220075.19482607918
ENA,20240809,61991.094483343564
MKR,20240203,573524.8280942165
COMP,20240808,144265.80633808213
ORDI,20241109,77243.21005601519
STRAX,20240722,0.0
HPOS,20241014,11689.078781263172
INJ,20230908,662016.4559877333
TRB,20241205,92170.0571269574
BRETT,20241016,88546.02006014109
GMX,20230620,60028.584272187974
UNIBOT,20230825,40182.54457078917
AI,20240423,350145.46331298293
HPOS,20240920,11569.234359160646
APT,20240219,299164.89108388027
TIA,20240212,380217.2825837235
LOOM,20231229,249666.4204775471
FTM,20230928,652235.178889492
CFX,20230702,107566.40917990118
FET,20231218,359182.63503177237
BCH,20241014,346146.61972542544
SUI,20231112,810872.7855351508
AI,20241210,53222.17478474068
TRB,20241029,81642.43258501968
UNI,20240810,92665.8007422284
DOGE,20240803,403792.08603231417
BNT,20231227,203389.3031596718
ZRO,20240928,182774.44734342638
BLZ,20231023,181745.69872064827
BTC,20240725,784622.1622835612
GRASS,20241112,78939.14852728028
UNI,20240918,162776.87639127378
REQ,20240117,177719.56984903
FTM,20230913,648203.0501301751
CRV,20231210,965467.998824113
ENA,20241209,296245.1323660308
DYDX,20231219,610148.5925438158
PEOPLE,20240124,543467.6739672227
MINA,20240726,131655.93000067692
ZRO,20240124,25951.442441664614
GMX,20230915,326787.65442332876
IOTA,20241206,72738.0585204174
BNB,20231018,1116528.4153985507
RUNE,20240125,78815.32422673369
XRP,20240325,579625.1145957586
TON,20240811,109853.8262461302
FIL,20231206,960984.5485765418
USTC,20240306,173024.7122124575
W,20240811,91034.88548527416
LTC,20230512,44951.89741734342
APE,20241112,154884.26664742312
ORDI,20241020,166931.88558825347
TON,20240327,243563.25368434453
CFX,20240917,143326.0491004031
TRB,20240107,170094.8101329847
FXS,20230917,329767.10706534743
ETH,20230623,384600.68428589636
LDO,20240725,146722.92467092047
BLUR,20240803,172438.4230573037
APT,20230827,505035.3470490203
ZK,20240722,135466.34107562326
MNT,20240809,210125.29871650093
MANTA,20240122,182231.01856686972
BIGTIME,20240311,182001.5291152134
GOAT,20241029,67070.84651144785
ORDI,20241013,150357.94759986567
DYDX,20231109,422812.46118503285
FXS,20240129,98874.63152154269
ZEN,20240127,100745.95924560708
NFTI,20241025,0.0
IMX,20241129,131311.9855741995
YGG,20240406,142935.2431699004
ILV,20240117,132048.3679563228
ZRO,20230930,86285.90243546345
kSHIB,20240228,308332.91099323664
CRV,20240824,202773.94772008463
STG,20240313,127115.46370438898
ORDI,20240807,135884.47602950022
RNDR,20241124,0.0
BLUR,20240308,238944.19958481318
EIGEN,20240820,19617.745693914658
SOL,20230531,274259.61115608754
PYTH,20231205,333478.2164788972
BTC,20230731,1334489.5958334934
STX,20240328,111591.94885216057
XRP,20240412,520458.3831277959
MKR,20240202,523065.7388935285
AVAX,20230811,487909.55133940326
SUSHI,20240209,351183.4535765068
ATOM,20240108,691951.2083484941
LTC,20240425,89138.96812954477
FTT,20231102,184556.21489054576
BNT,20240915,47637.661381035854
DOGE,20240422,130365.61501124784
CANTO,20240120,47704.69170661504
HPOS,20240720,9841.737814983377
XAI,20241116,156960.59199070567
kLUNC,20241128,133850.95009370177
ILV,20240830,67907.52478611525
LDO,20231023,636633.6755399966
BSV,20240122,87469.72840770936
TRB,20240220,83922.10217488853
SUI,20240420,130653.01128098082
TON,20240923,123139.64805655756
TIA,20240102,469610.93600334425
kPEPE,20230621,67797.8513031681
ETC,20240326,291915.6804270828
BANANA,20240119,24978.804972986458
FRIEND,20240112,28123.704560208786
REZ,20241027,286326.9346191297
LOOM,20240918,89406.68006447148
BTC,20231123,2848200.867701021
NOT,20241204,137586.46228142065
TIA,20231228,601413.9745462537
CFX,20230604,319624.4709530177
ORBS,20231207,290700.8747163833
INJ,20240809,195621.6927022155
ENS,20240825,128181.53255870934
NOT,20240926,174897.44525914
FTM,20240227,151229.14796223567
DOGE,20240920,599572.5542079397
CANTO,20240503,21941.48187227349
UNI,20231003,657783.6311704834
FIL,20240303,347800.735629317
APT,20240828,149886.5818216862
ARB,20240726,166488.7610459607
CFX,20230823,473602.69997011113
RLB,20241207,42774.50867173435
GALA,20231213,829470.2126824363
TURBO,20241124,102378.80367062776
ETC,20240429,287014.30693298613
INJ,20241031,167195.6823979713
SHIA,20240722,0.0
SNX,20230809,207741.634283513
kSHIB,20240322,240936.96181839798
GALA,20240421,165165.37418457115
ADA,20231122,886554.9047592985
FXS,20241210,69073.75519161655
APT,20240722,130221.23659504273
SUI,20231230,710386.0657397144
ATOM,20240101,819484.9301131101
LDO,20240310,322970.2088654997
ALT,20240308,173640.46248414635
kLUNC,20241114,107941.53401675832
STRAX,20241202,0.0
kPEPE,20230813,515709.2505084161
UNI,20231209,948610.0395484224
YGG,20231010,648245.5864610721
MEME,20240924,143908.56623493833
MKR,20230903,772487.482537037
MEW,20240805,128949.55956733073
OP,20240118,303547.88211116364
GMX,20231215,398354.6112556318
YGG,20230909,658075.2773766859
BLUR,20240922,184434.8462188282
STRAX,20240921,0.0
SEI,20230821,471358.99650456535
CRV,20230717,179418.2462993022
kSHIB,20240319,250621.84362005803
COMP,20230721,184797.63046615673
ONDO,20240410,138999.54284773287
