coin,dt,avg_sell
SNX,20231010,183451.8743055458
BTC,20241110,1659829.7128820543
BLZ,20231009,191458.8303192549
AVAX,20240804,189094.7115692052
KAS,20231127,263769.36110376404
FTM,20240310,165207.5275382762
REQ,20240912,25389.720809824328
OP,20240221,303986.81209287775
LTC,20240819,310189.80682181194
GALA,20240225,178528.96750919832
ACE,20240717,104087.47783290225
RENDER,20240912,164483.33783502044
JTO,20240405,211454.85776658004
LTC,20240222,288191.6153422175
SOL,20240218,1551365.0089446667
STRK,20240727,73522.58113097212
AR,20240821,102181.78119058932
COMP,20231205,949341.7715314106
BIGTIME,20241209,152366.79807949968
DOGE,20231109,778885.6139188668
kPEPE,20240812,478481.77676235995
POLYX,20240303,90688.90392546351
ZETA,20240920,68382.66843483651
EIGEN,20241029,73152.32644011568
FET,20241016,260315.63108083585
FTT,20240813,11731.747002879436
TRB,20241130,71789.16835473549
ETHFI,20240327,178206.74036109986
UNI,20231011,652556.8678171642
SEI,20230825,486393.3769370452
MERL,20241109,84269.69668179427
CYBER,20231215,251792.0621023236
BADGER,20240113,186390.41375166643
STX,20240503,151965.5188841017
SEI,20240713,157047.41702410384
OP,20241130,223191.8775064326
ENS,20240912,126127.09149901554
RLB,20241001,31568.731118286112
ENA,20241013,119888.98301733252
SUPER,20240821,101535.1690480889
TRX,20241205,288724.5923801294
STRAX,20241207,0.0
AVAX,20240911,245519.69837786583
KAS,20231023,185799.19940065953
STRAX,20231223,242489.83386870858
LOOM,20240501,102899.29357101969
UNI,20240422,126136.6589980351
ORBS,20240730,104412.42555999242
NEO,20240119,324482.72439847316
ORDI,20240911,240667.28202857182
BSV,20231127,443804.11137004173
ZEN,20240809,58062.09528926893
MINA,20240120,360167.0287602458
JTO,20240728,171451.42247895335
YGG,20241001,97882.27854689493
BTC,20240915,1441344.0749654544
CAKE,20240809,168775.0994501394
DOGE,20230528,326696.33421829017
ENA,20240404,132256.8431687
MATIC,20230711,175124.83963749773
RDNT,20231023,179001.6279273527
FTM,20231029,638443.276812195
GMX,20240229,84622.12739949882
SEI,20240901,158023.74508952972
REQ,20241103,24657.388223206333
TIA,20231225,764111.3091865933
USTC,20240303,133971.8166605793
AI,20241005,118212.16905067184
SEI,20240208,190782.28611747207
NFTI,20240424,12912.632668982336
AAVE,20230723,179900.09799180753
OX,20241010,0.0
BSV,20240321,111144.14578916953
NTRN,20241109,91808.73035719756
PEOPLE,20240305,347414.63835695334
MATIC,20230806,488356.78053879674
ILV,20240713,80565.80851429031
ILV,20240429,107590.54134041582
SOL,20230529,338229.6550854804
FET,20231115,382981.46726298315
LOOM,20240403,157780.206670624
BCH,20231003,651127.1330756231
GMT,20241125,122595.25787102894
BLZ,20240224,76693.3747088464
OP,20230520,79561.69476899809
LINK,20230709,169644.8230689329
FTM,20231120,609226.9142034594
FIL,20240730,235684.51611598875
STRAX,20240208,137092.32642525848
NTRN,20241106,96825.71626090401
GMX,20241102,72286.00077738024
APE,20230511,47750.30188068233
IMX,20240823,177348.57234137296
BOME,20241210,142199.77358293763
ADA,20231119,887290.2528995051
TRB,20240202,171564.35583212585
SUSHI,20241002,119961.75946825906
BNT,20240725,70181.88919551166
SEI,20241118,163597.71377249018
EIGEN,20240730,45586.26817222833
LDO,20230604,309547.0241220585
XAI,20240321,414753.5243866086
BIGTIME,20240904,117579.5495394255
ARK,20240219,70425.60630421147
KAS,20231106,235203.2312747393
TON,20240726,89492.50015995548
MEME,20241128,129024.42500983116
NFTI,20240313,9823.054933286201
JUP,20240122,22857.839364986026
CYBER,20240401,152373.1023126758
FTM,20240221,124385.97808869583
RSR,20240123,177897.32169027225
MATIC,20230925,553969.001229854
XAI,20240203,587126.2259860848
MKR,20231215,812889.1680146896
FTM,20241004,181356.21996399126
LINK,20231029,639824.6849093164
BLUR,20240103,486813.94036207825
INJ,20241020,191393.52188522165
NOT,20241105,164476.70671176352
HPOS,20231229,25083.2257550974
FET,20240803,151420.9207331813
EIGEN,20241126,78331.08082448585
RDNT,20240229,139291.74277754116
HYPE,20241210,85781.45865794395
SOL,20230915,2306653.9834556873
UMA,20240302,153935.16610038216
TURBO,20241006,175030.01633800866
ETHFI,20240404,276964.9893515587
PYTH,20240315,145248.50560383117
XAI,20240805,237295.67782087653
MINA,20240402,193870.02491497507
GMT,20240904,182125.73663218567
TRB,20231225,398300.37287151767
MAV,20240309,88675.01725982314
STRK,20240813,80143.2888203533
LISTA,20241120,112133.61004448036
TRB,20240310,120089.2288586681
SNX,20240427,171480.29487569194
APE,20240407,131398.7944753846
UNIBOT,20240106,28242.64006406761
ZRO,20240322,9056.473174766712
APT,20240325,234845.3667567112
ZEN,20240911,64590.70982706687
