dt,hr,med_spread,med_buy_sz,med_sell_sz
20240723,23,0.05201990943806134,129812.820483,126150.37835099998
20240818,21,0.04458996343623678,173037.80870399997,159369.62792300002
20241026,17,0.03906743729102935,239259.880129,274862.291511
20241109,5,0.031221066683895238,76951.06998199999,124734.50673349999
20240923,1,0.05838665981596769,108816.964855,130649.69
20241118,17,0.035851931522801195,111758.56712499999,190710.88354
20241118,5,0.027151778441480978,138305.43963,200038.63559000002
20240820,22,0.025054179663519527,203263.49498800002,166655.593515
20241108,13,0.02723103902753099,74967.26662299999,152252.546746
20240914,8,0.03602514787741651,150033.576244,100542.6260475
20241123,13,0.032838026434611756,99703.57452,139102.04658
20240818,1,0.03606156223838752,154851.965039,110342.89406300001
20240419,20,0.07895775759969581,230631.95414999998,248946.11318
20240912,21,0.027526614166217822,194115.25461950002,96360.08618200003
20240519,16,0.028669724770646887,204688.56442,213949.78805
20240513,7,0.02910643252158618,257035.70416999998,250109.79353999998
20240508,3,0.04801229114654859,278912.98452,243808.91917
20240514,2,0.02887391722810051,249046.18825,221125.18205
20240515,3,0.029052876234758607,321831.77371,281520.29772000003
20240516,6,0.02726776949644183,225449.15008999998,222645.21396000002
20241006,6,0.034646162099338795,169130.80367,230337.619021
20240812,8,0.022601849628345327,204606.06864150002,103288.93690599999
20240424,23,0.028782500239854514,148532.78853999998,173441.32929
20241014,16,0.025242548009485333,116452.31288900004,178657.99230649997
20240406,17,0.022458451864060258,200464.54842000004,249668.08249000003
20240614,5,0.021130587027839987,228031.501604,204305.21132700003
20240605,3,0.050087653393449116,244918.93459000002,202200.42623
20240601,2,0.050530570995466206,217576.60536999998,192050.99208000005
20240613,3,0.09720062208398161,222204.29479,246004.11407000004
20240915,11,0.03825000437871484,153437.08488399998,167510.6066185
20240718,1,0.02873658498845355,185116.69822549997,203588.17078349995
20240603,17,0.02510250188267893,315831.81054999994,247393.31833999997
20240720,7,0.041773331476746556,136400.64662400002,118274.431411
20240618,7,0.030121153974871362,174251.29969600003,180810.138845
20240621,4,0.028343435224353897,217154.51322099997,195333.02455100004
20241203,12,0.03355704697987072,77032.82882,68570.47541
20240623,13,0.022484987963911074,161517.52693500003,183718.982878
20240913,15,0.02479807283548574,128751.241574,104385.53412099999
20240629,17,0.04546013023711826,244827.62166399998,177737.76592
20240710,7,0.04751292559738163,148977.362267,125971.13721100001
20241020,2,0.02006823198876795,198896.763631,223622.01269200002
20240403,16,0.021610718916575955,256678.81154000002,294849.22852500004
20241108,19,0.030590728824120283,73574.51734300001,127614.78366999999
20240823,19,0.031854130052733076,209147.88650749996,177629.38936300002
20240428,17,0.04609994468005585,166549.73112999994,170667.28988
20240730,2,0.03370549822039326,160384.464842,161198.34822449996
20240915,15,0.04289631283056483,237877.25393000004,179214.233825
20240427,0,0.057224606580841275,160766.46579999998,199752.70362999997
20241018,8,0.027566739075290947,198674.23968099998,158655.10630599997
20241125,1,0.02470559169891473,110848.31618,136657.15089000002
20241013,0,0.02809272847816846,221330.96455099998,262854.76675500005
20241126,2,0.016594756057086713,114797.31356000002,150393.28022999997
20240726,20,0.020098126145295936,190687.85466,220446.04120999994
20240501,14,0.03336913563511956,164401.69344499998,171976.84643699997
20240803,8,0.03662457101776262,191510.68031000003,177230.996461
20241025,18,0.03249461132555087,113264.90511200001,137998.49866550002
20240903,19,0.027223230490003303,181810.8759275,181494.15175800002
20240427,16,0.0380988665587223,177432.95246,185629.32056
20240929,23,0.029610620414621813,192529.65042700002,178400.54445000002
20241018,7,0.026442784425206867,203081.177191,163934.099514
20241010,19,0.03768309730747266,145417.31426699998,185057.27150399997
20240405,3,0.02188343424027739,215168.49783,221906.87893
20240820,16,0.07528136409833408,104311.10804999998,92261.67986699998
20240404,16,0.021388849279913025,208431.97791999998,201545.54708000002
20241030,0,0.02350050739732268,155740.23681099998,183286.20808100002
20240412,7,0.046425255338911064,200592.67822,217709.87786999997
20240918,10,0.02363169383367003,311416.750561,264592.1872525
20241026,5,0.030379917827061398,233686.41480749997,272056.846516
20240522,18,0.025352826840197018,275628.47918,272168.8948
20240517,23,0.03664681630783928,237958.36987,245771.46062000003
20240521,4,0.0451508036843018,236627.56502,252891.45101000002
20240518,21,0.03704732796145915,199331.38068999996,221496.54162000003
20240812,19,0.021957015912366096,202672.57323700003,165045.262199
20241130,10,0.024271844660206376,129150.07926,129620.68714000001
20241117,3,0.02696144513345544,141487.14113,147325.33866
20241121,20,0.027198549410689665,186105.7924,180526.62974999996
20240901,6,0.024542730184973216,279911.1024459999,251382.017137
20240914,19,0.03624789033394027,149317.306714,149396.48606
20240611,21,0.029507229271175106,318114.3594000001,360448.70489
20241009,6,0.031170990198448045,192616.57901000002,283241.71149099997
20240907,22,0.05907784849217279,184262.30544199998,180443.488071
20241025,2,0.02641862513073079,253392.39364000002,268548.784236
20241116,22,0.02581089219650945,111699.88434,179909.48225
20240603,5,0.04236211132764289,190167.29865,234701.15850000002
20240730,10,0.021684656900555765,191981.02599400003,192898.21415
20240831,22,0.025517364566574052,205388.35382199998,190186.792515
20240615,16,0.0394415901188383,167494.65921299995,162716.23128600005
20240625,20,0.020803504778688087,221123.56983,278462.90277800005
20240620,18,0.02820446064393245,214355.08039100002,196236.59966100001
20240404,0,0.02190820465183263,365264.503335,343720.44330499996
20240914,13,0.033235917712448604,150769.99899,100572.9029515
20240706,1,0.170848746861596,135050.215058,119496.74040299997
20240724,9,0.04429704004909052,195511.03727650002,205802.88792349998
20240711,18,0.023849607182935273,210000.15728599997,232951.671341
20240910,11,0.022999497663611645,198589.313858,205510.97600199998
20241008,5,0.027281097609499483,196941.41109749998,165545.07336749998
20240910,15,0.04416961130742081,150921.36655,135780.99576
20240826,12,0.07949214595206477,102574.338933,111746.17923699999
20240419,12,0.029365700861405664,168260.76634000003,249223.25580999997
20241112,2,0.03774653203736378,161036.43902999998,178213.30546
20241001,14,0.024825144633466856,135974.644559,176700.719322
20240916,5,0.0231180113780316,239175.03643999997,258476.23167299997
20240826,6,0.05358002011983665,161395.4647655,162026.60717699997
20240809,9,0.03263406572275862,157055.226011,155391.20466299998
20240721,6,0.0690630813273474,151111.30670400002,177825.508237
20241127,6,0.04245202920700741,135868.44766,144399.87529999999
20240803,7,0.08199806430799761,202208.76162400004,179537.009429
20240913,11,0.040594591367693056,167512.021886,101890.84535649998
20240915,22,0.046607511061191875,183806.5843855,158545.461496
20240801,23,0.023123169415750766,238237.65473799995,198673.486195
20241123,19,0.03341966747429925,109129.10943000001,126364.15444999999
20241022,8,0.023073615320878815,214115.45271500002,191916.30501500002
20240830,8,0.029046898638429575,193817.204297,165045.934546
20241014,11,0.026635000610375492,220333.570751,299652.75079
20240902,13,0.04593658126839095,184987.71717,188762.40465999997
20240809,5,0.024068581299929726,197726.669567,211357.80488999997
20240928,3,0.02401085708318984,186370.80607000002,187990.744894
20241021,23,0.024793299341352437,212561.152082,236586.652755
20241003,18,0.0328287433886576,182930.00930200002,188584.071069
20240524,23,0.02628811777076745,332510.61348,321995.33261000004
20240516,3,0.05426181424745824,249095.18059000003,239345.92546499998
20240509,19,0.028134671293256197,237087.32948999997,234269.87336000003
20240530,7,0.03595505617977057,224401.04128,252144.03192500002
20240510,23,0.019457145636736506,313957.441025,280887.4064
20240512,14,0.019153418885275997,294671.11516999995,322507.75371
20240501,17,0.02411154276871219,159149.70687900003,178631.481091
20240513,19,0.03833253473886078,256904.15914000003,271300.18131
20240502,2,0.0579439062325271,153661.39408700002,164180.38977799998
20240528,14,0.02665245202557731,192057.75819000002,221370.3892
20240904,15,0.03418848374074912,200328.535223,158190.74342299998
20240726,3,0.022892945358155004,187094.692352,199096.32381899998
20241204,4,0.024589660047946715,70255.55174000001,65549.418
20240911,3,0.0253246988169753,164223.55435700002,170595.557518
20240412,13,0.07900766374340229,184097.62742499996,212239.86591
20240607,7,0.03263973888207872,319979.96409,294219.47143999994
20240607,19,0.055985816926384935,152512.52340000003,213251.78244000004
20240409,4,0.028212723938514372,185711.32077999998,168949.33281999998
20240910,16,0.042357924672808966,179836.64500399996,139111.0519895
20241016,3,0.022323920080347115,172025.797924,250723.52068600003
20240816,22,0.03915018009084115,185464.34103299998,97445.00657
20240815,10,0.031021779874618183,120697.480027,159447.28013699997
20241120,8,0.028016436309297177,108955.99172,158072.74664000003
20240608,20,0.028446804475623644,253473.37308999992,310263.69252
