dt,med_spread,med_buy_sz,med_sell_sz
20240401,0.025338907893046603,193260.5755485,225378.830823
20240402,0.02771234585006166,230663.94628400003,241525.61138500003
20240403,0.028038693396892356,206485.08911200002,224071.38907200002
20240404,0.028498147620403813,207258.16212900003,227125.97802500005
20240405,0.03032140691328067,172710.90400699998,208115.00859299998
20240406,0.029634019854807292,212832.46582899996,200396.428835
20240407,0.028288543140031486,199030.78785599998,167154.39416499998
20240408,0.02723311546841689,196685.54866800003,170245.987923
20240409,0.02769699487605859,194824.198991,194991.65322900002
20240410,0.028485970659430926,200269.258167,189019.126973
20240411,0.028109627547445726,204321.67015099997,177458.929594
20240412,0.02772002772002402,192992.59590300004,189588.345759
20240413,0.03407155025552111,157968.42762200005,167894.916792
20240414,0.03801558639042746,87496.03332100001,72272.559013
20240415,0.03785011355035284,94624.18222650001,79921.32805500002
20240416,0.03920031360251652,159452.26327000002,171539.72709
20240417,0.037757221068535074,165407.600563,155560.66975149998
20240418,0.03926958570585892,175529.66978599998,161560.07854
20240419,0.038461538461542766,175682.70859499997,149663.822999
20240420,0.0346981263011914,173314.953546,157692.40960699998
20240421,0.03382377811602666,174731.634441,150363.320392
20240422,0.03139224611521385,163866.00350399996,137263.43828600002
20240423,0.029877502240793774,155531.4611375,153766.7388925
20240424,0.027063599458720944,166627.55483150002,153042.94966649998
20240425,0.025377490166200722,144264.105528,161576.51127500003
20240426,0.013689253935655898,145657.759921,153735.17996399998
20240427,0.0143698807299808,157138.16341799998,158400.215765
20240428,0.013609145345672147,167965.4510845,152119.64590799998
20240429,0.014432096983685305,151455.99900400004,165415.762318
20240430,0.015482272797640029,171950.596824,168495.771064
20240501,0.030548342752401147,187002.47300799997,196119.58145700002
20240502,0.028905911258858552,218316.22074100003,191830.51804350002
20240503,0.02501250625313034,226850.228841,203327.387492
20240504,0.022951572182705604,216116.10624599998,192981.17797949997
20240505,0.023515579071142767,222489.27586150003,209082.68437150004
20240506,0.023142791020602793,193733.83060300004,198232.436344
20240507,0.023906287353581135,242327.670561,243989.41866499998
20240508,0.025160397534285117,257552.4400265,271202.4786235
20240509,0.02409638554217164,272930.2232,277405.584672
20240510,0.023108030040441818,236705.29080499994,228823.675446
20240511,0.023110700254225236,229094.38705299995,231752.170793
20240512,0.022568269013767406,231510.664514,225411.95038450003
20240513,0.022644927536230597,247148.85919700004,243956.656961
20240514,0.02004208838561894,299280.4167045,309110.67956950003
20240515,0.02654632333420892,253354.74313150003,255866.10034249997
20240516,0.01956947162427003,301496.881743,299858.44845200004
20240517,0.019700551615442485,312619.18031599995,337911.873132
20240518,0.020024028834608742,301207.142138,303173.342007
20240519,0.021265284423188646,223505.33650100007,204942.64909399993
20240520,0.021256244021672366,226648.41796599998,225982.93775899996
20240521,0.02692998204667507,338408.53395,362296.51540699997
20240522,0.022621022470215024,265745.307983,273320.326289
20240523,0.027301890655917482,270867.14584300003,300940.43261849997
20240524,0.021222410865884278,243424.72592299996,261910.49229500003
20240525,0.019911063914501703,270400.85182,263739.396514
20240526,0.018888119372917345,282092.47218099993,278959.255113
20240527,0.01804945550809567,337129.7603084999,335208.450302
20240528,0.018647439085039963,266358.3315195,263201.0162395
20240529,0.013306719893546592,280783.30876800005,291120.373481
20240530,0.014201519562595522,338071.88097000006,317882.286848
20240531,0.013668671405131505,292799.5650355,293079.055656
20240601,0.013185654008429637,295920.49837399996,316652.583294
20240602,0.006960395350463777,329370.527179,327613.0808325
20240603,0.0068231441048061114,306091.4200905,302538.48503549997
20240604,0.00700182047332909,314879.65086100006,305224.0693655
20240605,0.006934812760039932,341603.371574,316907.6666675
20240606,0.006892273761116563,334841.7144685,322218.135121
20240607,0.0071027771858966915,337950.47167500004,338410.575909
20240608,0.008054123711342953,312413.992443,351667.81886099995
20240609,0.008143322475584469,342423.73748699995,344798.81080100004
20240610,0.008032128514057213,318189.902027,331766.370568
20240611,0.008552856654131524,300497.4596,305631.8513389999
20240612,0.007767593599505851,342941.5620229999,325458.46545699995
20240613,0.00835212561598464,307342.0533915,322248.7938155
20240614,0.008987148377825882,357542.71939399996,365451.72263399995
20240615,0.008503401360560048,379778.3846025,377338.970563
20240616,0.00847960654626334,389523.29114000004,396596.07754900004
20240617,0.008795074758127797,361034.8703709999,379195.7163910001
20240618,0.009761811792285968,350390.930681,347830.81410200003
20240619,0.00885896527287322,356168.14263399993,344933.8131215001
20240620,0.008971023593784544,370774.00202700007,363742.3826119999
20240621,0.009131586156518878,369212.14538899995,357186.0382865
20240622,0.008781173164718048,387152.71667899995,359240.47096099996
20240623,0.008932559178198574,392349.488974,379642.718962
20240624,0.009444654325641011,378010.36835799995,378769.51723850006
20240625,0.008568246080020714,369088.532368,363120.59681700007
20240626,0.008027614995587129,326289.7284615,327404.857918
20240627,0.015835939689889944,345631.0664944999,342811.770444
20240628,0.016103059581329404,346912.9827355001,361547.311186
20240629,0.01699668564629775,388789.3965575,381928.7880955
20240630,0.017566974088722986,391564.40693200007,376082.6146655
20240701,0.016493485073398872,392354.87283499993,367522.95387399994
20240702,0.017376194613372142,411170.375726,388387.7857435
20240703,0.017815784785324418,401482.146337,409045.655674
20240704,0.02077274615703839,308477.656955,287037.938803
20240705,0.023339946318134963,329956.04324250005,343478.6586195
20240706,0.02047292455726879,303462.7012225,300269.68539400003
20240707,0.011990407673856396,293138.694756,290629.414112
20240708,0.02221235006663047,311431.70154900005,293918.046442
20240709,0.021505376344088667,282828.047426,270448.14291099994
20240710,0.021540118470664282,318510.4023805,299316.1339624999
20240711,0.020540207456076764,326164.866667,314921.11327
20240712,0.012032246420390358,316097.20858900005,309088.957465
20240713,0.011636025133832106,318544.9800539999,313331.46192499995
20240714,0.011495574203923553,342586.9731485,318837.17091700004
20240715,0.020502306509495583,300315.92951250006,279247.141185
20240716,0.024123512383411594,358729.61144899996,343406.482914
20240717,0.016700066800279245,329917.096544,323226.0104145
20240718,0.017029972752036215,377764.704689,375607.044245
20240719,0.01636527289092804,406656.44527699996,387496.838635
20240720,0.01628001628000142,358782.660864,378935.2690625
20240721,0.016409583196597133,372921.4954485,384399.65670850006
20240722,0.01621139661180937,365675.00201,383289.197591
20240723,0.016390755613837626,374860.381162,383957.8614675
20240724,0.008266512358434674,352343.6010485,362817.333473
20240725,0.00875273522977782,350426.880191,371640.090034
20240726,0.008444519506833892,410948.405846,401941.53384499997
20240727,0.008355614973276637,400112.60913,401139.925979
20240728,0.008530967411712886,375856.617579,399224.109574
20240729,0.008391373667859803,436752.4754410001,419025.15042
20240730,0.008637816360024253,395355.18422700005,416067.07330550003
20240731,0.008825346394836231,413701.92379699997,411551.37408800004
20240801,0.009593246354566709,405715.80582799995,420652.38496399997
20240802,0.010215548064151925,355554.9506585,356693.2200305
20240803,0.011375270162661266,323084.9124855,340810.38308500004
20240804,0.012061271258012596,338908.158413,336618.97871800006
20240805,0.027843519420867047,366277.15277349995,375324.38980700006
20240806,0.013102725366875845,387504.47140099993,384610.24533750006
20240807,0.013358268768359771,425283.0468270001,443173.40642499994
20240808,0.012820512820521657,449326.1370189999,462493.67550250003
20240809,0.011860989206513572,427691.7391169999,448203.4556739999
20240810,0.011892020454284946,403161.82944899995,411191.826218
20240811,0.012362467548521217,437490.204708,431198.64571499993
20240812,0.012717792191274668,471215.51021,457800.682004
20240813,0.012426991425362743,444005.9315230001,426856.5707090001
20240814,0.012430080795522436,465991.948685,450442.05669550004
20240815,0.01273236567354008,507767.8972920001,501433.76688600006
20240816,0.013802622498282346,548513.054955,554818.6865594999
20240817,0.013827433628321728,504260.878189,515738.201175
20240818,0.013421017313119954,432479.285894,468344.94181199995
20240819,0.013661202185799581,545748.0609975001,568620.9668699999
20240820,0.012850167052169681,501080.62429249997,493465.0020315
20240821,0.012943308309609769,419983.846602,423674.37129200005
20240822,0.012608750472820063,421027.11121699994,407329.19940900005
20240823,0.01236399604354066,403066.46831100003,408509.23211599997
20240824,0.01099021870536454,394068.68397849996,374487.0353325
20240825,0.011058277120423732,323612.92460400006,326463.239277
20240826,0.011611704598246675,404631.68846999994,402555.07144300005
20240827,0.012017786323759161,505857.40318,512954.169023
20240828,0.013071895424832114,535504.2960725,529509.223507
20240829,0.012944983818763411,554104.8299334999,555349.065967
20240830,0.013024225058599903,582038.7058430001,606755.8497169999
20240831,0.013034410844636746,624572.439374,654223.818577
20240901,0.013374348000527725,662157.4905775,681955.294076
20240902,0.013762730525734845,654005.8404995,669641.6935689999
20240903,0.01353912808015334,666643.3829940001,687098.887346
20240904,0.014027212792822041,853183.412024,865490.3809590001
20240905,0.013892747985533305,841059.517922,872083.259814
20240906,0.014314342971655236,762704.904786,789970.7233535
20240907,0.01469723691946978,819444.948661,818400.0963389999
20240908,0.014566642388924578,789798.6884695,794539.8977785001
20240909,0.014142271248762661,714520.3608080001,678941.6592650001
20240910,0.01349709812390465,717077.110078,705260.8666675
20240911,0.013904338153514217,742936.87085,728384.8742455
20240912,0.013598041881968115,706883.936405,668550.007201
20240913,0.013533631073214814,729672.839717,694702.1366689999
20240914,0.012865045670906738,622193.3558155,590794.7378130001
20240915,0.013000520020800543,626395.5095789998,605319.9977275
20240916,0.01393339835586982,628499.1344509999,618021.7930429999
20240917,0.013719303059400723,636440.5739190001,602058.0900155
20240918,0.013808340237497774,646345.448371,636461.9267479999
20240919,0.012742099898055415,673066.4118614999,635141.4958455
20240920,0.012342631449047126,753466.5153424998,697926.262991
20240921,0.012230919765188197,757637.863284,715408.1793610001
20240922,0.012445550715600717,728429.335272,584153.78857
20240923,0.01236399604354066,696997.74383,673329.4958859999
20240924,0.012298610257044373,685198.8759775001,561522.5723009999
20240925,0.011798017933006832,599971.852061,505638.1430095
20240926,0.011492931846901477,587226.7303510001,552811.2763344999
20240927,0.010281719103422127,649852.729445,610005.4766289999
20240928,0.009139097057198065,622394.530549,569398.1154780001
20240929,0.008914244963453832,637319.858824,572551.3674615
20240930,0.00928505106776445,615509.8608404999,609623.5612979999
20241001,0.01008369466570791,579946.6757029998,529820.150398
20241002,0.01077934677158332,565757.091849,494872.4280369999
20241003,0.011638733705754412,586715.1515510001,532035.238425
20241004,0.01125872551228646,591678.4074265,488047.4181235
20241005,0.010662117496518242,587075.490852,533324.841468
20241006,0.010692899914466203,554904.7372285,525902.9873634999
20241007,0.009750390015605959,713882.1858020001,688235.829089
20241008,0.010458063166707277,704295.806182,680810.5638520002
20241009,0.010826025765942049,778382.203467,745138.2038509999
20241010,0.01089087344805506,879985.4958080002,755150.7942915
20241011,0.01064395955294728,934988.823906,815285.536602
20241012,0.010130685847431486,1002559.7873469999,939042.2841455
20241013,0.010350895352462253,781670.5851154998,755327.3770409999
20241014,0.009757049468239742,993502.0165804999,907449.2861735001
20241015,0.009753242953269847,809768.4907490001,763750.7421805
20241016,0.009658103148524333,978427.1188010002,1021615.6280459999
20241017,0.010011012113331219,900089.3287180001,1017310.403451
20241018,0.009611687812371983,1007778.25194,958093.0048310001
20241019,0.009524716639686126,1025419.6812299998,1060597.6324635
20241020,0.009660902328278986,1051626.413257,990085.1619740003
20241021,0.009730466089341583,853658.5697190001,952149.889213
20241022,0.009902951079432398,810937.0090295,873727.6118600003
20241023,0.010187449062737386,750206.0944160001,686742.740559
20241024,0.010105092966838924,724629.945231,696606.8248429999
20241025,0.01044604617150835,830770.712759,833667.5336139998
20241026,0.011133377866845429,824395.078218,908566.4422774999
20241027,0.011048502927835102,925291.0516969999,966685.4219500002
20241028,0.011238480557440589,876509.7176360001,893251.6158929999
20241029,0.010479983232025702,868335.0893075,872679.7350360001
20241030,0.010459156991937668,867371.280196,874251.2311935
20241031,0.010734220695596264,865494.236846,867612.9142449999
20241101,0.011140819964361448,859096.559213,850806.2172119998
20241102,0.011442956860041598,837876.4335469999,832108.269393
20241103,0.012226433549322735,856989.135219,878064.240722
20241104,0.012327416173585348,930565.3104129999,929177.1119434999
20241105,0.012211503236048138,830593.0954925001,804399.1111965
20241106,0.010759629868717369,680873.5808000001,662857.5528595
20241107,0.009657170449073327,803293.906234,830479.3233439999
20241108,0.009289363678588458,836184.869433,889675.2056880001
20241109,0.009277298450682814,808546.7564640001,864196.7885289998
20241110,0.008812902088672914,632509.426862,621117.0224770001
20241111,0.008316699933463845,581274.567016,573915.591203
20241112,0.008073631519467384,505721.83203799993,503030.879306
20241113,0.01426380916836889,423711.34664500004,375009.233084
20241114,0.014023278642549819,360408.667564,340373.42194
20241115,0.013531799729360472,381933.446819,352378.42706700007
20241116,0.004788813332035069,448936.165561,453514.55173199996
20241117,0.004827652795214021,381979.93140999996,392692.660944
20241118,0.004892367906061956,366583.6656230001,373827.305443
20241119,0.004998000799671942,471516.078006,460221.2931909999
20241120,0.00530138366112709,399492.05419349996,448891.607402
20241121,0.005287648054141947,354917.06867000007,374127.63305299997
20241122,0.004946821667073387,444482.8555365,426315.44140400004
20241123,0.004875908137891294,495388.49306700006,450706.44993599993
20241124,0.005083367222447066,605218.1453545,587368.1918835
20241125,0.0052002080083157765,577317.57353,616941.9887659999
20241126,0.005534034311027725,619756.1870409999,580410.756658
20241127,0.005462093074060093,613658.3099705,582805.9405015
20241128,0.005132943229657627,640177.234843,602032.265613
20241129,0.0049987503124349075,615030.2134054999,584313.2289549999
20241130,0.004899078973163995,648156.6091080001,584848.7958529999
20241201,0.004796393112393993,570617.785202,546043.419994
20241202,0.004966969651798436,591267.2888725,617125.665753
20241203,0.00505331244629037,835782.083364,851927.2192750002
20241204,0.004857198367980153,966826.753748,854084.124714
20241205,0.004714979489839344,939909.4547499999,856985.3674430002
20241206,0.00464446611860847,863732.173804,760879.8035880001
20241207,0.004636283555092824,827024.020766,803506.0883414999
20241208,0.00401493556028143,844651.369988,725175.0867290001
20241209,0.0074562875144623675,700651.7241539999,757992.8278905
20241210,0.007874945859764892,662036.415552,500724.3850559999
