dt,hr,med_spread,med_buy_sz,med_sell_sz
20240903,16,0.013715539706482538,738725.2020569999,814506.755315
20240831,19,0.013211784912137148,673486.91932,783729.764864
20240408,12,0.02568053415510363,215053.25942199997,196753.44332899997
20240816,7,0.0133049494411841,657919.5448689999,505116.5390615
20240720,15,0.016386726751327352,379643.04237799987,365913.04469199997
20241016,2,0.009500285008545717,932883.1234180001,966879.4458889998
20240817,2,0.01380452788515285,664524.6443,515100.93111799995
20241015,6,0.009450009450029384,973201.7928185,929381.1610734998
20240714,23,0.021652051531884098,343297.980204,323338.56933200004
20241119,1,0.00492198651373954,472974.012511,439492.7186979999
20241004,2,0.011391467827581714,607971.4165645,501759.0676689999
20240804,0,0.011611704598246675,377241.052309,316426.659842
20240808,2,0.012846865364846138,460627.85391800007,516877.0891539999
20240902,16,0.013310262212162804,660569.1717380001,674107.342472
20240819,18,0.013299640909703037,523898.452454,596958.6908140001
20241110,9,0.008637816360024253,646668.061276,727447.707592
20241127,2,0.005507517761760283,654691.4486710001,563615.753838
20240808,18,0.012174336498649296,451733.84187799995,459054.6970665001
20240425,5,0.014118311449951015,146927.62302999996,164911.90533399995
20240417,19,0.04035512510087713,163748.40275200005,148128.79247800002
20241012,12,0.010036130068247218,988127.3681765001,942075.837794
20241106,21,0.010509721492391044,679453.8444709999,693054.609753
20241014,13,0.009646922631678656,1131442.7499644998,896175.36977
20240902,22,0.013197835554956683,635736.8473609999,687288.9160739998
20240531,14,0.019648938957295137,261910.23884100004,263287.4434805
20240530,16,0.01389709205026346,307334.11253349995,289406.540426
20240531,5,0.013740982480259234,291016.177142,294499.57521899993
20240514,3,0.02001400980686796,287498.76875499997,259527.01894500002
20240509,16,0.023548804898143594,220412.840055,202637.943341
20240526,23,0.018776991925895103,313396.5261,298637.184236
20240504,1,0.02462296100435024,215549.48531049996,186742.54001500004
20240527,12,0.01807337791432939,387983.6784130001,429508.950521
20240525,2,0.027960296379148097,308801.5249375,262427.89987900003
20240515,10,0.027124773960207627,165601.451937,154595.04489600004
20240422,16,0.030623181748579142,165172.776533,142394.7027055
20241123,22,0.004835122328605834,624655.72953,629750.4132470001
20240408,20,0.02576987501610173,186938.61145899998,150847.36847400002
20241108,11,0.00924299842868237,778306.1126534999,1025719.5450520002
20241028,1,0.011039964672110436,909582.3649699999,950098.9793170001
20240613,18,0.00828843762952225,312192.133391,322065.82592000003
20240610,3,0.00785978149806521,313023.87570200005,297986.3123420001
20240607,0,0.006949270326606083,365797.981936,371115.77800500003
20240623,22,0.00917347032383109,392963.86317299993,366183.1632709999
20240627,21,0.016207455429495532,378966.870797,315226.61012
20240618,11,0.009595087315283912,398272.91028000007,398406.1386265
20240813,17,0.012084592145034101,452225.26482699986,416396.54146700003
20240701,1,0.016661112962323976,344995.455828,327423.833026
20240405,18,0.04538577912254205,195600.60041800002,212382.19498300002
20240620,6,0.00865650969530396,399693.547769,366564.37404699996
20240727,11,0.008269246671632757,402063.04620949994,393016.83918
20240808,10,0.012777919754669576,413148.4203290001,426910.40199
20240711,6,0.021623959346950272,313997.02335150004,288528.39676449995
20240923,17,0.012348728081024163,708618.899145,681296.2914459999
20240807,23,0.013590649633044016,424581.23291849997,445230.29870799993
20240421,21,0.033377837116166376,173383.49537599998,151614.06213799998
20240907,13,0.014573010784024731,896634.7682200001,949499.6405440001
20240411,19,0.02697963037905371,227551.65073,164772.816628
20240407,12,0.027812543457095273,198042.39499499998,150390.405124
20240822,10,0.012559658377275795,386867.7616690001,413813.061254
20240728,23,0.008556515786772856,369389.24465300003,402963.422399
20240802,20,0.010305028854062925,318997.265514,307616.133114
20240901,18,0.013511687609790712,712030.9607769997,779417.3132325
20240914,22,0.012893243940181875,581769.672349,596191.859771
20241210,17,0.004513857542653987,828240.73201,500151.05731400003
20240813,9,0.012545477355407897,424294.34492500004,415888.566792
20241130,3,0.004891649953542299,803402.3216719998,577659.0784880001
20240910,8,0.013356484573257,662980.167344,675671.9227605
20240718,5,0.016867673104492553,339882.21697249997,368732.328654
20241003,20,0.011642798928868103,657175.1866605,501269.22565200005
20240425,17,0.02491590880777661,147007.40702999997,144616.241883
20240901,2,0.013365410318089133,671970.2696399998,703180.002973
20241209,7,0.007616436269453075,902393.3682029999,1006056.9258239999
20240902,0,0.014023278642549819,700727.241053,702234.2144745002
20240410,9,0.028690288337407388,186284.0054795,171722.69883999997
20240402,8,0.02777777777778212,232981.86111600001,246802.23179699996
20241004,10,0.011111111111117289,562681.158667,514888.48386300006
20241122,6,0.004716313729202781,476922.89017100015,448958.07859499997
20240727,16,0.008333333333321313,395399.442559,456495.222416
20240725,6,0.0084932903006818,328620.585243,342529.800273
20240728,4,0.008529512111898896,387338.25737350003,393022.54128
20240530,0,0.0133976420150006,330488.59987649997,325725.78191950003
20240514,12,0.02761795219522467,290967.22982650006,256063.503054
20240529,9,0.013306277251012855,225837.79583000002,264095.43229100003
20240910,13,0.013581420616604056,770046.7772459999,818415.5591179999
20240404,19,0.02830856334041787,197711.196506,226859.934395
20240408,6,0.02709292874560898,190827.55253400002,169884.3462805
20240928,10,0.017839621800019856,567356.9764570001,553831.1912629999
20241126,20,0.005613247263536181,652892.7375220001,663992.783359
20240602,23,0.006905123601708141,290851.239786,306453.9337755
20241111,10,0.016117334192933264,589599.146907,657848.768434
20240401,9,0.02458210422813245,121195.01609600002,166954.97767200007
20241123,0,0.0048546045924524606,481908.830808,470495.1874800001
20240729,4,0.008247422680396355,427977.3697895,391345.5254705
20241016,18,0.009625565501969469,963711.5306524999,1029976.3854440001
20240626,11,0.008015389547932905,317989.53051300003,331738.93483000004
20240617,5,0.008423180592975754,351710.63309499994,332219.00553
20240620,3,0.008826125330996248,407670.22750100004,454270.90205599996
20240605,10,0.006942515967778284,377424.680987,360817.151856
20241018,22,0.009599692809847404,921912.2204160001,1158827.313081
20240618,22,0.009194556822356148,343070.085772,374416.86799100006
20240918,20,0.013856172925019727,645687.7054194999,615854.8065835
20240630,10,0.0177619893428016,388854.817399,340400.42891899997
20240706,14,0.021829294913766617,306786.08379999996,318784.360055
20240708,0,0.024003840614472693,281929.160532,308816.446901
20241202,5,0.004782858236085374,641976.4092164999,630861.3480974999
20240410,14,0.029472443265543546,216211.55205299996,191386.588024
20241208,4,0.003869220352092917,839236.11529,571502.2790460001
20240908,10,0.014413375612565282,872688.25725,805121.5822819999
20240902,15,0.013267878466227678,643712.07185,648516.226808
20240910,19,0.013439053890618169,721263.8728990001,751126.0252294999
20241110,14,0.01573873699073358,506949.37356950005,582709.2699259999
20240827,23,0.01302592158396454,540202.215941,528950.7552435
20240730,6,0.008460236886631556,373169.00817600003,390461.34885800007
20241018,16,0.009568462348097384,946546.0613999999,964893.6067199999
20240720,0,0.015791551519939162,335576.469343,390263.96895999997
20240907,8,0.014710208884971543,815546.9900000001,795369.9724559999
20240812,0,0.012906556530722924,427064.713728,415049.53408400004
20240915,13,0.012975217334876277,603122.9537490001,558529.459171
20240831,13,0.012968486577613625,652251.6315050002,668570.065557
20241018,15,0.0096024582293186,960375.6140015,988520.0447054999
20241023,11,0.010155377272269561,743019.2615380001,692707.4434309999
20241015,12,0.009846396218970987,1007427.6636619999,961697.9850210001
20240407,20,0.02683123155353684,206363.1464595,170721.40634300004
20240512,1,0.023188405797092138,224054.98528849997,262552.685714
20240528,21,0.006260956674175588,243305.682837,286422.3024725
20240515,18,0.019500780031211917,487556.459588,468713.9291719999
20241023,16,0.010298661174035217,707552.8231100001,673597.316471
20240722,10,0.008269930532578407,361348.455156,278486.296547
20241202,9,0.004947555907364176,718934.4393449998,551448.9493159999
20240928,18,0.008981498113902475,650466.8998799999,506803.71336000005
20240416,15,0.03923876790268288,158431.372702,161540.01526799996
20240608,18,0.008103727714736664,303941.30759099993,330057.888252
20240607,22,0.007799703611266473,264069.70415700006,315645.2000705
20241116,19,0.004714534911132162,447992.71817350003,469189.26806100004
20240613,2,0.00779119594858102,295820.893796,328703.3704895
20241116,7,0.009064539521386195,518279.63384799997,481180.6996280001
20240606,20,0.006908462867016851,354966.88669899997,352018.24888800003
20241120,16,0.005224796889580219,404637.56211099995,453721.022753
20240612,23,0.007622532205187049,379251.1004315,360536.47539
20240825,5,0.010761945759796276,296062.760442,312384.80852300004
20240408,3,0.027647221454252247,200471.118012,181910.73669800002
20240422,11,0.031109037175314214,167669.7802195,161396.08328000002
20240924,23,0.011584800741415435,680195.134451,503352.07356000005
20240817,18,0.013564839934887551,411508.214317,488766.6040639999
20241123,11,0.004635209047942901,380983.47580799996,182794.592526
20240618,15,0.019114063215630583,349825.54174200003,377837.4009945
20240702,5,0.017225045215751855,400159.0050260001,415328.47000200005
20241206,4,0.00461190794631694,834086.2159525,790807.1516855002
20241017,23,0.010161568946243094,626382.6068625001,1012526.7421555002
20241012,20,0.010098969905070199,1049928.321744,902879.6923189998
20240908,18,0.014469686007823057,738561.745695,739312.4912395002
20241123,15,0.004612546125448702,402762.2427319999,291324.1553290001
20241107,21,0.009231053263181188,758799.032123,629115.656055
20241112,6,0.014178363816808037,551775.1084050001,572077.4007949999
20240412,16,0.02967799376760727,175269.031525,226856.02010000002
20241013,8,0.010143016533126215,742426.0381430001,685355.09571
20240416,22,0.03714710252600284,235365.97869899997,178598.66489600003
20241203,2,0.004937783922587258,645648.80519,665365.5775240001
20240718,14,0.016921905406541704,346974.899488,377123.314193
20240730,20,0.008951750067121012,428685.879038,469433.91117399995
20241208,23,0.0037944903999331814,905352.2140169998,765271.2471554999
20240418,9,0.020911752404861872,153299.787763,193177.19302500002
20240824,23,0.010648493238196721,367048.3245669999,390316.47958499996
20240815,20,0.013412017167380164,568838.644008,608512.220349
20240823,11,0.012461059190038704,376242.0961714999,376730.9176555
20241103,21,0.012220457045097888,851176.2995170001,795780.3407670001
20240912,5,0.013575889220751591,660850.350182,625676.2279945001
20240503,12,0.02622950819672898,210902.01773999998,198846.66914100005
20240914,16,0.012870012870025427,641257.2636490001,657870.31533
20241130,6,0.004796738220769203,563167.0228885,523850.90943699994
20241122,3,0.009379983116031276,411583.35663150006,411691.30100250005
20240502,20,0.02614037380734846,210994.54373100004,190564.872907
20241114,4,0.012872497914140357,434893.65108700003,406753.04061200004
20240508,18,0.024399170428202055,284730.66860000015,266434.827707
20240522,6,0.03661394258933637,412182.2159219999,440149.437561
20240523,18,0.022123893805314765,282369.579594,337604.141566
