dt,hr,med_spread,med_buy_sz,med_sell_sz
20240818,21,0.0074332862558534885,136668.142433,137915.41649200002
20240903,7,0.014624159110843138,279485.241284,302153.941094
20240903,13,0.015042117930197385,152034.7789915,159234.60172649997
20240818,1,0.007518231711900469,147546.176092,147261.15194099996
20241124,4,0.003747002398091226,316517.0156350001,269570.8282495
20240909,4,0.015256693874432514,207671.81533399998,183509.033903
20241107,5,0.005324246619098361,314540.897337,325153.406277
20240826,6,0.013468013468020956,153499.7520355,148303.67177349998
20240721,6,0.011270780501537736,231258.156208,253384.74808500006
20241020,18,0.010609516736526103,254876.42871400004,237030.48585899998
20240817,6,0.015063643895452117,151971.777515,147366.84131799993
20240419,3,0.03675794890645179,93764.5053315,136985.75712650002
20240908,6,0.015458339774321317,209491.22715800002,211670.682096
20241116,22,0.004099704821247663,236612.10422999997,238126.68674600005
20241122,18,0.008044890492175938,269101.17004600004,256157.77103100004
20241102,10,0.011368804001810062,276895.3586095,280021.095655
20240823,7,0.013938253536815992,146229.40988400002,143619.36063900002
20241006,3,0.011562698733880161,266104.66510399996,309657.024322
20240806,20,0.014809329877829569,246838.527449,238934.30138699998
20240903,8,0.00737082626962593,238075.37603200003,258486.02657
20240501,17,0.01869595699930393,143097.1755425,175127.95917500003
20241025,10,0.011269510339784183,153326.63450300004,168628.58062599995
20240519,16,0.016769379113745764,493299.622624,505601.6408549999
20240505,4,0.016322533257162597,276939.240552,269460.90439050004
20240523,6,0.019624774315096793,474204.516257,510133.69236299995
20240528,5,0.016115386164949896,377867.726656,427954.600814
20240908,3,0.0077429345722190845,215530.6848085,202574.8532135
20241103,14,0.01220926683354051,189664.136933,200571.36293950002
20241027,4,0.011746740279594547,187770.11816500002,188387.48508599997
20240601,10,0.003958201393272631,245998.694095,441205.698249
20240625,12,0.017273146015650553,192732.074677,201884.249334
20241123,19,0.0038497074222432204,309763.496177,660693.9071629999
20241120,19,0.012637165910533987,215465.94880150002,211859.54864000005
20240613,20,0.004693954187007243,223641.36406200004,211068.600058
20240417,0,0.02197077887471366,153376.10882700002,137315.27795150003
20240707,5,0.018085362912967362,312757.4721465,329382.4541865
20241014,15,0.010893246187348993,258645.393178,273778.288099
20240408,18,0.020873195338322326,142989.1628415,213922.06243549997
20240712,17,0.012158793847660831,137533.737752,135388.79012000002
20241108,13,0.005267871253233913,239961.853738,222926.681755
20241123,13,0.017957190058881523,109808.03798200001,194080.12338699997
20240813,1,0.014343086632240265,139232.86777150002,129969.9914925
20240419,12,0.021615078678882682,136259.89736,124718.418982
20240417,11,0.01364504684799872,150749.492253,142596.53612300003
20241009,20,0.011841326228556603,260727.68696900003,276819.41807449993
20241121,12,0.012398743593977635,202045.29653300002,210251.83792799996
20240722,20,0.01119256813477687,235683.7800120001,229764.360274
20240806,12,0.015036463423800939,280845.2633405,279943.8122005
20241203,20,0.007017051434998756,446045.0964425,389829.85692250007
20240724,14,0.01144426642254448,277713.027153,266845.85521400004
20240816,16,0.015294027682188904,139100.928257,152356.892373
20241028,5,0.017724211272596158,173927.745283,170918.7988005
20240913,16,0.014402995823115106,158501.09299900001,189002.7012185
20240813,21,0.035844863431067076,132708.258452,125244.52654799998
20241014,0,0.011432491139840018,150542.214657,135511.17321900002
20240908,12,0.015420200462590294,201700.33558300004,186986.464886
20240417,15,0.023092021718806865,142155.302822,138304.90149649998
20241119,17,0.011799874134688082,208043.419895,193661.58804899998
20240808,20,0.014607069821792606,272788.63327800005,277858.98484499997
20241002,23,0.01841394549471076,197859.94568049998,203406.3053145
20240905,23,0.02273588480483646,181025.082435,170483.002376
20240529,1,0.025148646472039626,343013.3118585,329107.52824350004
20240515,12,0.012667314107162042,156009.26234300004,122468.432022
20240523,12,0.015648227838194195,525343.205092,509771.97013800003
20240530,8,0.023023791250964543,245090.55020499998,332166.129703
20240504,17,0.01596487727000273,246918.008812,237996.48851550004
20240804,8,0.01420959147424572,295574.136946,301224.480408
20240423,5,0.026224103697591872,115889.80006899999,165521.449231
20240402,0,0.014150275930369105,244818.18159499997,315635.8584009999
20240601,2,0.011834786382114437,292449.5783375,288294.571217
20240605,20,0.0038572806171588425,336919.00443500007,332719.71262450004
20241019,4,0.010455876202430936,216785.68662100003,237620.670461
20240407,10,0.014210601108421983,232249.922576,205722.83255
20240819,12,0.015024038461541878,113885.13928000002,134712.77074200002
20240619,21,0.016410480827100393,214602.94032600004,207370.233873
20240611,21,0.004602356406468999,240756.68219799997,280314.44904900005
20240707,14,0.019153418885275997,231798.79920499996,235344.68907999998
20240701,14,0.011782726522935327,174377.396921,163952.648484
20240704,23,0.020036064916850727,150380.21458600002,158496.32617050002
20240618,13,0.022599508478726715,301603.1890735,376148.0187155
20240614,9,0.009218289085533016,201490.20291399996,212804.38588200003
20240830,13,0.014315367547057534,217614.93324749998,239186.15949750002
20240916,17,0.015299877600982725,147782.665897,162660.87133549998
20240626,7,0.011326311020498636,383811.04895300005,398811.59961699997
20241108,19,0.010552975939215337,311920.37838300003,327903.5278455
20240923,1,0.013668671405131505,172232.61316999997,173524.83970050002
20241011,1,0.012015620306393693,154342.03011000002,152560.406406
