"","DISC_RATE","CHG","PRE_5","POST_5","PRE_10","POST_10","PRE_20","POST_20","PRE_50","POST_50","DATE_STAMP"
"2011-06-22",0.75,0.25,0.0914315569487985,-0.0684538056486357,0.1243272335845,-0.122067975107707,0.011132623426912,-0.0852082336045957,0.0170399221032131,0.332216371469602,1
"2015-12-16",1,0.25,0.000149476831091011,-0.183829024062173,0.0800645682001613,-0.170826483335824,-0.0144351156282224,0.112240322821701,-0.130361320509488,0.307128979225827,2
"2016-12-14",1.25,0.25,-0.0149896111605816,-0.113756215157451,-0.0152818991097923,-0.0632816031339463,-0.149211639533393,-0.107578725327708,-0.0341967403958091,-0.192406207623927,3
"2017-03-15",1.5,0.25,-0.104684684684685,-0.0122761118937412,-0.0993293456588726,-0.026967196619038,-0.0927515062990691,-0.068021734755484,-0.196734561914,-0.0511169249345943,4
"2017-06-14",1.75,0.25,0.0266299357208448,-0.0237030411449017,-0.0495217853347503,0.0181127012522362,0.0512458862247296,0.00603756708407888,-0.0998389694041868,0.130590339892666,5
"2017-12-13",2,0.25,0.0568351284175643,-0.235810598933835,0.220903522205207,-0.228755095641267,0.117770767613039,-0.121197867670116,0.279695024077046,-0.141110065851364,6
"2018-03-21",2.25,0.25,0.0518711923411663,0.0430249875889459,-0.0377388535031845,-0.0238292238954161,-0.104342670816659,-0.143637266258481,0.152144899904672,-0.0810855535330129,7
"2018-06-13",2.5,0.25,0.00677290836653377,-0.0366046695686585,-0.0577926920208799,0.0692520775623269,-0.059545962039449,0.0110803324099724,-0.167928877181429,-0.0180055401662054,8
"2018-09-26",2.75,0.25,0.185397155740548,0.106949524506218,0.123992764347969,0.202487198244331,0.39632277834525,0.125530358449159,0.366453418632546,0.0501828822238477,9
"2018-12-19",3,0.25,-0.0727387729285263,0.0963506139154162,-0.202827623708537,0.145293315143247,-0.241495278747898,0.107946793997272,-0.257063220575193,0.246759890859481,10
