"","DISC_RATE","CHG","PRE_5","POST_5","PRE_10","POST_10","PRE_20","POST_20","PRE_50","POST_50","DATE_STAMP"
"2000-02-02",5.25,NA,0.00101053332382262,0.0643950640743953,-0.0116386216772997,0.0779047257093315,-0.0309423104589268,0.0789142388864472,0.1662557482409,-0.0852385420254398,1
"2000-03-21",5.5,0.25,-0.0287985803433971,0.00807110315160275,-0.0591500068309122,-0.0822236070691728,-0.0929988805233006,-0.0924002153907587,-0.0364702658901581,-0.101923391073384,2
"2000-05-16",6,0.5,-0.0520148012356993,-0.0630479000744859,-0.0197215532917229,0.029128230103707,-0.138431919436251,0.0967240589010483,-0.204625594576889,0.0335257548845465,3
"2000-06-28",6,0,-0.0030378173377561,0.0385114503816792,0.0245380780134907,0.0434923664122138,0.0658060666874578,-0.10264631043257,0.0204876528783979,-0.0116793893129767,4
"2000-08-22",6,0,0.0481058967832504,-0.00977487350163708,0.053904339580942,0.0403238899261307,0.0491919629232702,-0.0266661254971994,-0.0396413954394859,-0.112184430554428,5
"2000-10-03",6,0,-0.00815937497743524,-0.0335830403098403,-0.0534008683068015,-0.0966868325070434,-0.101322882864022,-0.0851697352232441,-0.0984444736151218,0.0401715188445044,6
"2000-11-15",6,0,-0.015559042588459,-0.0197861242694325,0.0385646669309148,0.0142109871360259,0.0978573423815703,0.0860666472098124,-0.126042341122687,0.0987884366417466,7
"2000-12-19",6,0,-0.017098383947256,-0.0627260816314903,0.0201582147449169,-0.0146401207667547,0.0611917967628344,-0.00957019567632234,0.0579142435290925,0.0363297160272296,8
"2001-01-03",5.75,-0.25,0.0513040637559163,-0.00306402659343863,-0.0146401207667547,0.00514525220407558,0.00522297527985449,0.052579852579852,0.120667314544866,-0.0756684491978613,9
"2001-01-31",5,-0.75,0.0121735418258935,-0.00065305678192662,0.0608199288461675,0.0157822055632277,0.0785976858000272,-0.0147958177155255,0.108471074380165,-0.237426956279209,10
"2001-03-20",4.5,-0.5,0.0411180526171688,0.00580936670730869,-0.07904856962527,-0.0185278156303044,-0.154428759138843,-0.0213010112601304,-0.117767403928627,-0.0156589925649667,11
"2001-04-18",4,-0.5,0.00032102457527583,0.0472345852088947,-0.0291718251658237,0.0173044278728813,-0.0689286416355418,0.0655440042564333,-0.198683070759569,-0.00445067520205378,12
"2001-05-15",3.5,-0.5,-0.00298347737259419,0.0199710517328302,0.0182658232040538,0.0478459561872855,0.0970481449433089,-0.013864268405731,-0.15085689033737,-0.0576200621249328,13
"2001-06-27",3.25,-0.25,-0.00136974718863625,-0.0243251938903377,-0.0285733085489628,-0.00880550005080083,-0.0677843025825599,-0.026399566498459,0.0314838912517577,-0.0488620584549733,14
"2001-08-21",3,-0.25,0.00651525299884326,-0.000674099040705256,-0.00485917007095238,-0.0211390545328837,0.000207458119392268,-0.144430040618788,-0.0492037667011783,-0.0637110016420359,15
"2001-09-17",2.5,-0.5,-0.155945140981969,-0.00358146512561563,-0.166469997710421,0.0434846916136664,-0.181413288823931,0.113698311745938,-0.18002338978646,0.224544129144041,16
"2001-10-02",2,-0.5,0.0472353284207179,0.0029462387364585,0.0434846916136664,0.0672876379467449,-0.13022420261012,0.0686139516047386,-0.158057146753955,0.196274172319531,17
"2001-11-06",1.5,-0.5,0.0402902735417003,0.00362115711594146,0.0265203690774949,0.0545011718211481,0.111457290538746,0.108506042920822,-0.0603166103861336,0.0894995634391806,18
"2001-12-11",1.25,-0.25,0.0301570215456113,-0.0445415643866515,0.027392241562934,-0.0812462681616135,0.105889689832902,-0.0107559875273666,0.271714828095339,0.0373681417103431,19
