"","DISC_RATE","CHG","PRE_5","POST_5","PRE_10","POST_10","PRE_20","POST_20","PRE_50","POST_50","DATE_STAMP"
"2000-02-02",5.25,NA,0.0214824442165937,0.00876554488696292,0.018320431833336,0.0149512374033188,0.018578404761277,0.019623144197037,0.0195413309798643,0.0251286109009559,1
"2000-03-21",5.5,0.25,0.0273328541795943,0.0166417527252852,0.0224039131940766,0.0248260868242892,0.0224886325458169,0.0307343243997016,0.0196211333367201,0.0280279702489613,2
"2000-05-16",6,0.5,0.0218241443449387,0.0119807931011577,0.0291221093114026,0.0195249353837235,0.0295430176946557,0.018345069082353,0.0281704396744554,0.0174771803300701,3
"2000-06-28",6,0,0.0113865361185935,0.012392659680076,0.0136816284105258,0.0100852655056455,0.0148017642666337,0.018283044262683,0.0219942639365312,0.014520935366298,4
"2000-08-22",6,0,0.0117786868768551,0.00450444296064594,0.0140697886361431,0.00925198375218703,0.0133917489850562,0.015643065754782,0.0150485691418203,0.0173386790441415,5
"2000-10-03",6,0,0.0174827225558678,0.013381969197586,0.0233357716969334,0.013590308549774,0.0195747453206472,0.016104422494472,0.0179040179209965,0.014573132446751,6
"2000-11-15",6,0,0.0224927902645245,0.00630773180715526,0.0176348736871068,0.0110673065032925,0.0167511417401399,0.0089444970509123,0.0182475796404314,0.0118676857903821,7
"2000-12-19",6,0,0.0157397340672113,0.0161417811585956,0.012483122542632,0.0174559226258676,0.0111206943126096,0.0140798254036052,0.0146203808857954,0.0145665175135053,8
"2001-01-03",5.75,-0.25,0.00991605442730274,0.0151382364239812,0.0174559226258676,0.0105733404133807,0.0148727730421038,0.0122463636980155,0.013984223293144,0.0207947104872237,9
"2001-01-31",5,-0.75,0.0178852627034321,0.0106069860032369,0.0131217819789883,0.00984514437379058,0.0122302982653285,0.015783613038429,0.0127565897426551,0.0226918779914619,10
"2001-03-20",4.5,-0.5,0.0332043435081264,0.0217440673395777,0.0350752677597541,0.0217433616045437,0.0285695256036149,0.0240267935654192,0.0206234738987342,0.0175450470054397,11
"2001-04-18",4,-0.5,0.0339629907946777,0.0161516101922258,0.0243555087045227,0.0202593852119714,0.0224222457411124,0.0148735847324415,0.0234859213428822,0.0130899137138558,12
"2001-05-15",3.5,-0.5,0.00328380233963479,0.00983759221538044,0.00742828707002713,0.008574940037206,0.0164368606938528,0.0106412991820656,0.0234554802535354,0.0113676365679295,13
"2001-06-27",3.25,-0.25,0.0171909105651403,0.0147452342782486,0.0155765708289158,0.0119086930837821,0.0126193858590895,0.0102465963377459,0.013946239583639,0.00789724729000031,14
"2001-08-21",3,-0.25,0.00836491953584361,0.00283702403561382,0.00644167859119577,0.00374685556171018,0.00691752050580312,0.0200605503861285,0.0102096117898287,0.0184503449088128,15
"2001-09-17",2.5,-0.5,0.0215644697709982,0.0323556249503377,0.0217180773054375,0.0243733973815543,0.0173507635931465,0.018986160922679,0.0133409268035406,0.0151102999989955,16
"2001-10-02",2,-0.5,0.0152136423370643,0.0127370141877143,0.0243733973815543,0.0128279764839374,0.0252271575388608,0.012240173750471,0.0166609472675925,0.0117976681357501,17
"2001-11-06",1.5,-0.5,0.0107056221735259,0.0103560232194846,0.0120752203002223,0.0146405057507477,0.0118890309171499,0.0125066882396966,0.0185384023599573,0.0121547686607674,18
"2001-12-11",1.25,-0.25,0.0111674017148565,0.00672329716770108,0.00938786533802977,0.00643653907174564,0.0118643993806327,0.0118353772136521,0.0121286514438247,0.0113739728385753,19
"2002-01-30",1.25,0,0.00299513741242332,0.016796528768236,0.00816050991544755,0.01218161172715,0.0104510482755739,0.0111016181134388,0.0115916532117382,0.0125878670224963,20
"2002-03-19",1.25,0,0.00909553037331658,0.00685260948867736,0.0112177890032132,0.0103112550869928,0.01529964111249,0.0089217017198042,0.0128071195396115,0.0116452951378725,21
"2002-05-07",1.25,0,0.00302299923692368,0.00773023432558249,0.0102750375852831,0.010101268204659,0.0105870352857896,0.0139778233889608,0.0123192222176658,0.0117735060441611,22
"2002-06-26",1.25,0,0.00677893036647217,0.00463038715770386,0.00691058898418989,0.00543090931976871,0.0114213861678512,0.00948712939787949,0.0125364972352271,0.00953497800656129,23
"2002-08-13",1.25,0,0.0103914021261693,0.00684366895692044,0.00759250955819481,0.00709387031782075,0.0111407390200813,0.00853440884597367,0.0105215667519275,0.00789286038746781,24
"2002-09-24",1.25,0,0.00447499508903822,0.00851283776439524,0.00650819686327474,0.00733612995126624,0.0089133449515781,0.00669194393017571,0.00956174722407985,0.00936750123295336,25
