"","DISC_RATE","CHG","PRE_5","POST_5","PRE_10","POST_10","PRE_20","POST_20","PRE_50","POST_50","DATE_STAMP"
"2000-02-02",5.25,NA,0.118095327807084,-0.0275659873459313,0.161771183039865,-0.0162851630622509,0.0868892388835982,-0.039672443279948,0.18697,-0.153474814022258,1
"2000-03-21",5.5,0.25,0.0879357816738875,-0.00333100721097912,-0.0444118431581755,-0.0447545940916492,-0.0667008232310952,-0.0388369388229821,-0.0109692915052408,-0.0562456385205857,2
"2000-05-16",6,0.5,-0.0415395424490621,-0.0415725259828286,-0.0316699402967658,-0.00301250188281343,-0.0585916451603752,0.0706833358437522,-0.0737571501650931,0.0298338103127989,3
"2000-06-28",6,0,-0.00336313674021826,0.0487791495198904,0.0191053122087605,0.0268861454046643,0.0853059401518537,-0.077768632830361,0.0882762738853511,-0.0309099222679464,4
"2000-08-22",6,0,-0.0164491666086887,0.0141979425614909,-0.0115270896595813,0.0625821055397238,-0.00860574851979101,-0.0311344206633121,-0.0656141709235455,-0.0786495280826217,5
"2000-10-03",6,0,-0.0348149490084081,-0.0452457713200548,-0.0301745368883179,-0.0467031753742883,-0.120865041155459,-0.0353751711345675,-0.152796355711039,0.114108112882569,6
"2000-11-15",6,0,0.0162931693606576,-0.0187657617564161,0.0506078282940732,0.014940555661517,0.101329194431154,0.0942420581939944,-0.0942646550731322,0.204961112170726,7
"2000-12-19",6,0,-0.0157570832548782,-0.0429936466063212,0.0158332395749166,0.0660611979822185,0.0754761930544581,0.0801071317095767,0.148518629877189,0.273135515571353,8
"2001-01-03",5.75,-0.25,0.113954148999968,-0.0119477134059953,0.0660611979822185,0.0131755416611576,0.0829404003313934,0.0355881297342227,0.257577917141772,0.0349269914429819,9
"2001-01-31",5,-0.75,0.001859558219518,0.0364914177591567,0.0244233378561733,0.0994188403838359,0.0770746193336762,0.0709014731720505,0.190366382084174,-0.0988151552011531,10
