"","DISC_RATE","CHG","PRE_5","POST_5","PRE_10","POST_10","PRE_20","POST_20","PRE_50","POST_50","DATE_STAMP"
"2000-02-02",5.25,NA,0.0213338582191529,0.00652858284393276,0.0205215642221539,0.0274320492319402,0.0263866765861616,0.0302150817405973,0.027365202055291,0.0290851345471931,1
"2000-03-21",5.5,0.25,0.0158435038653023,0.00942787998723038,0.0284496510607474,0.0273012511548957,0.0303328730374822,0.0303580069468242,0.0273895022392566,0.0228778070301639,2
"2000-05-16",6,0.5,0.00682631458291293,0.0142828167937401,0.00896235067636082,0.0140899975599825,0.0211393382189495,0.0157931545544338,0.0264060278492839,0.0174072349036032,3
"2000-06-28",6,0,0.0188781598749833,0.0132457793280499,0.0179233556292578,0.0132358343801184,0.0171622927350033,0.01904504032175,0.0168603372685003,0.0151649392121456,4
"2000-08-22",6,0,0.0114704025273774,0.0087826125549254,0.0137614608767495,0.00843437013240738,0.0145414175026201,0.0164480333349766,0.0163651310927062,0.0150562714134575,5
"2000-10-03",6,0,0.00956480956189816,0.011695915068811,0.0161237627572134,0.0105639184273798,0.0171377136422308,0.0125167685608703,0.0171107941053813,0.0150013240605093,6
"2000-11-15",6,0,0.0247561515442206,0.0191949485201054,0.0172340958662771,0.019574899366367,0.0161959768447257,0.0156337882215484,0.0161806164666561,0.015741608275869,7
"2000-12-19",6,0,0.0203495913563883,0.0164408863001818,0.0163544025276838,0.0213996549353709,0.0152393684425839,0.0165546741640356,0.0153879676388391,0.0236567614520868,8
"2001-01-03",5.75,-0.25,0.0133249791417109,0.00985887460428407,0.0213996549353709,0.0102574876855251,0.0187086165189416,0.0129924594056588,0.0169311901867021,0.0264078097023604,9
"2001-01-31",5,-0.75,0.0203434736137409,0.0145531461830422,0.0156217831340883,0.0251505762252706,0.0137562740274248,0.0296176401407375,0.0155333270312169,0.0274568344220431,10
"2001-03-20",4.5,-0.5,0.0273497106104679,0.0151091235545907,0.0303981034552142,0.0206238631921453,0.0339814003916409,0.0200265942905419,0.0263751859618939,0.0169640446898426,11
"2001-04-18",4,-0.5,0.0183871226613441,0.00714192430221856,0.0157171637616332,0.015963407515332,0.0200381957989311,0.0163842863885273,0.0279188992089113,0.0157434536189115,12
"2001-05-15",3.5,-0.5,0.019741268631338,0.00938913662085383,0.0167901888342033,0.010784275168742,0.0183104689842289,0.0124043840892662,0.0233453501352732,0.0132578343228773,13
"2001-06-27",3.25,-0.25,0.0203250403989853,0.00683958377476839,0.0207788907887207,0.00723640794811666,0.0173680602462914,0.00911346059910408,0.0161683063156967,0.00876423506730506,14
"2001-08-21",3,-0.25,0.0091338336961766,0.0047823825671561,0.00971056773603208,0.0056038439128556,0.0100169074170296,0.0246591798969457,0.0126685934330094,0.0206957094796506,15
"2001-09-17",2.5,-0.5,0.0302818798222143,0.0383904552117576,0.0253247790806038,0.0275630737631317,0.0200619545393951,0.0207942726480453,0.0158290940662136,0.0152558697028391,16
"2001-10-02",2,-0.5,0.0078923810626681,0.0117228971660964,0.0275630737631317,0.0123008446123967,0.0296532043154712,0.0111939588143399,0.0198211427395925,0.0116452747816087,17
"2001-11-06",1.5,-0.5,0.00800306196729433,0.00392271679626414,0.0101829211032514,0.00666421156369379,0.010242609198781,0.00994833802925144,0.0208165324356577,0.0149128661356644,18
"2001-12-11",1.25,-0.25,0.0148092704303117,0.00904316838571251,0.0141045637528495,0.0115354000044235,0.0115723888202899,0.0171569942466469,0.0117687186307166,0.0191686860588652,19
"2002-01-30",1.25,0,0.0164165556682259,0.0336567693629372,0.0126024263892837,0.0237831507632163,0.0172743654914528,0.0213240527242335,0.0156677301139956,0.0198923341342224,20
"2002-03-19",1.25,0,0.00757263828281845,0.00526071266894412,0.00806474143117974,0.0150932966175234,0.0210243889554861,0.0113715286558724,0.0208301141429031,0.0105716897805147,21
"2002-05-07",1.25,0,0.0054693474276716,0.00317301368785792,0.0103842029638634,0.00861011870358862,0.00874741146929158,0.00983445461414576,0.0155511734901425,0.0128730477851384,22
"2002-06-26",1.25,0,0.0100683389892126,0.00937322597349685,0.0114465862096548,0.00779807816493063,0.0169401132268649,0.0087599043797822,0.0130786314632458,0.00826192555578358,23
"2002-08-13",1.25,0,0.00502177207759977,0.00570163389107307,0.00636398960177755,0.00542479949438352,0.00858805455337123,0.00740051782981067,0.0125759195751512,0.00778490838276392,24
"2002-09-24",1.25,0,0.00480983788191001,0.00958638330807984,0.00707734888545794,0.00712400183688346,0.00768493214537719,0.00782109462042111,0.00781496143554075,0.0111544321678372,25
"2002-11-06",0.75,-0.5,0.0098859334106761,0.00629788193989666,0.010847685300117,0.0109690541338364,0.00939777522767827,0.0130777639963968,0.00827208410511644,0.012965851238317,26
"2002-12-10",0.75,0,0.0146239794377218,0.0137205343097132,0.0108135094801669,0.0151393714417825,0.0130955535867276,0.0139132515771067,0.0111717182566056,0.0144118804687726,27
"2003-01-09",2.25,1.5,0.0186076978801995,0.00522738905346019,0.013445587225546,0.0120629070976341,0.0135581293479203,0.0144093264311628,0.0131442173036303,0.0143418107225099,28
"2003-01-29",2.25,0,0.0127975790943605,0.0126155385433403,0.0169552836336239,0.0153936986239085,0.0148089738456193,0.0151753019231688,0.0138274943403231,0.014037913243017,29
"2003-03-18",2.25,0,0.00866005525665485,0.0147072182142494,0.0100956285365533,0.014101289598162,0.0144788956047347,0.0130915288662503,0.0146698523240548,0.014649273688518,30
"2003-05-06",2.25,0,0.0155210622852342,0.0192169237381443,0.0146236745502047,0.0159266493166735,0.0130844476927489,0.0225761125785759,0.0130680634115035,0.0201475320702253,31
"2003-06-25",2,-0.25,0.0134996668768273,0.00913797381979327,0.0146372721958957,0.0181415212437798,0.0233179595605571,0.0194544620804871,0.0192226844494294,0.019842135733271,32
"2003-08-12",2,0,0.0171225438263323,0.0105813116937398,0.0196592370241372,0.0225069301788437,0.0203716479392681,0.0198651814408851,0.019336382389853,0.0213885526092452,33
