"SYMBOL","CAP_START","CAP_END","DECILE_START","DECILE_END","EBIT_START","EBIT_END"
"20MICRONS",127.7371,1115.94,3,4,34553600000,78387800000
"21STCENMGM",16.695,139.92,1,1,NA,32926000000
"3PLAND",12.15,78.3,1,1,4865300000,2416100000
"63MOONS",508.0159,1921.94,5,5,-47971100000,213899100000
"AARTIDRUGS",1458.2305,5102.39,7,6,180820000000,235530000000
"AAVAS",15582.1302,14840.23,9,8,301936400000,625373800000
"ABB",28153.0872,159510.85,10,10,24558000000000,NA
"ABBOTINDIA",17572.6834,40605.69,9,9,NA,NA
"ABSLNN50ET",70.4132,57.83,2,1,NA,NA
"ADANIENT",23975.8598,338819.73,10,10,92358000000000,564028000000000
"ADANIGREEN",29583.3301,296831.85,10,10,141546300000,162800000000000
"ADROITINFO",11.6911,44.93,1,1,185300000,3813300000
"AGARIND",105.6651,1824.85,3,5,31090500000,127185800000
"AKASH",161.7117,66.02,3,1,774900000,593100000
"ALANKIT",199.4265,704.47,4,3,22513200000,26961600000
"ALBERTDAVD",257.9637,898.88,4,4,28954400000,97285300000
"ALKYLAMINE",2614.2056,11606.74,7,8,226378400000,20247000000000
"ALPA",36.8211,245.86,2,2,2907500000,20682000000
"AMBIKCO",480.9,979.09,5,4,69130000000,85250000000
"AMBUJACEM",42234.674,153772.8,10,10,415316000000000,566614100000000
"AMJLAND",94.3,223.41,2,2,10716000000,13965000000
"AMRUTANJAN",1377.6396,2335.98,7,5,34454000000,61946000000
"APOLLO",157.4941,3172.17,3,6,25261000000,44094200000
"APOLSINHOT",187.2288,458.97,3,3,8888900000,19146700000
"APTECHT",691.1559,1336.6,5,4,17178700000,47467600000
"ARMANFIN",578.6463,1781.38,5,5,53776100000,228089500000
"ARROWGREEN",61.0477,1273.42,2,4,-101506000,40650000000
"ARSSINFRA",49.6825,44.68,2,1,9885400000,-33488200000
"ASIANHOTNR",165.3524,356.09,3,2,-75556500000,-87304300000
"ASIANPAINT",176473.2094,313321.96,10,10,358325000000000,721477000000000
"ASTEC",958.7122,2353.23,6,5,61352500000,-61747900000
"ASTRAL",16994.6968,51051.22,9,9,3077000000000,7337000000000
"ATFL",1747.2762,2032.4,7,5,40630000000,11630000000
"ATLANTAA",54.605,456.48,2,3,NA,84014000000
"ATULAUTO",541.5582,1908.73,5,5,66880000000,10710000000
"AUBANK",25904.5595,52237.03,10,9,NA,NA
"AVANTIFEED",9550.8187,9086.9,9,7,484446300000,536641800000
"AXISNIFTY",7.8526,778.31,1,3,NA,NA
"BALKRISIND",20876.3233,57544.73,10,9,1139520000000,1941000000000
"BANCOINDIA",786.7052,4899.03,6,6,111470000000,362700000000
"BEDMUTHA",40.7225,690.58,2,3,-71024000000,20266100000
"BEML",4251.9035,16441.67,8,8,19360000000,381624700000
"BEPL",928.2421,4097.21,6,6,82611400000,241636100000
"BHAGERIA",496.2343,1082.59,5,4,78546200000,26262700000
"BHAGYANGR",79.3476,327.95,2,2,1172700000,55874100000
"BHARATWIRE",128.7882,1909.72,3,5,-82001700000,128886300000
"BHARTIARTL",240175.8146,876776.88,10,10,-32645000000000,175419000000000
"BHEL",16330.8771,91926.47,9,10,-68479000000000,17868000000000
"BLBLIMITED",26.1683,99.18,1,1,-2420000000,3500000000
"BLS",717.6623,18363.64,5,8,82642000000,352074000000
"BLUESTARCO",8191.4962,35447.99,9,9,21002000000000,55667000000000
"BSLGOLDETF",101.7876,818.33,3,3,NA,NA
"BVCL",28.5864,137.66,1,1,1403000000,12652200000
"CANFINHOME",4999.9374,11544.46,8,8,518286500000,957531500000
"CAPLIPOINT",2220.1147,15336.12,7,8,269462600000,56416000000000
"CARBORUNIV",6305.1067,28809.59,8,9,332770000000,606390000000
"CCL",2594.7096,10147.45,7,7,225315000000,276237600000
"CENTEXT",27.2,209.52,1,2,5380000000,10570000000
"CENTRUM",1015.1199,1523.93,6,4,-38614100000,-108954500000
"CENTUM",547.4743,2340.77,5,5,351730000000,127570000000
"CENTURYTEX",5950.5874,26583.57,8,9,28439000000000,47229000000000
"CERA",3453.0595,11951.1,8,8,134874800000,320405500000
"CEREBRAINT",299.3306,174.25,4,2,32229300000,-42612800000
"CHALET",7032.3185,19312.11,9,8,1050190000000,2693530000000
"CHOLAHLDNG",10474.4289,34139.82,9,9,180562000000000,519983000000000
"CIGNITITEC",773.2281,3742.98,6,6,130842900000,220375700000
"CIPLA",39021.4156,130307.87,10,10,217818000000000,589672000000000
"CONFIPET",781.7989,2814.82,6,5,68090000000,140280000000
"CONTROLPR",478.5192,1317.92,5,4,37050500000,74081000000
"CORDSCABLE",59.8556,271.48,2,2,10846900000,13752000000
"COSMOFIRST",541.4061,2065.98,5,5,NA,7239000000000
"CREDITACC",10977.8279,19259.73,9,8,46160000000000,193918000000000
"CTE",56.5373,194.82,2,2,5429800000,8040500000
"CUB",17861.8802,12347,9,8,NA,NA
"LTFOODS",782.0205,13959.57,6,8,NA,751661000000
"DABUR",86550.7894,114145.71,10,10,182765000000000,235925000000000
"DALMIASUG",1011.3366,3666.55,6,6,247470000000,36341000000000
"DATAMATICS",427.6774,3801.63,5,6,866880000000,25082000000000
"DGCONTENT",34.9122,228.09,2,2,-39520000000,12700000000
"DIAMONDYD",1946.3675,1969.56,7,5,33675500000,77411900000
"DLINKINDIA",376.3514,2311.19,4,5,44932300000,124188400000
"DNAMEDIA",5.8854,67.8,1,1,100000000,8766100000
"DONEAR",157.56,644.8,3,3,18460600000,47476400000
"DTIL",127.0698,264.68,3,2,-6140800000,-177140600000
"DVL",254.9802,1502.56,4,4,-4099800000,85177300000
"EDELWEISS",10164.405,11186.02,9,8,-245665000000000,43739000000000
"EICHERMOT",56300.1449,130124.03,10,10,232318000000000,475430000000000
"EIHAHOTELS",932.3253,2510.58,6,5,43001200000,108738400000
"ELECTCAST",699.2219,13018.97,5,8,114494000000,937303500000
"ELGIRUBCO",100.1,551.55,3,3,-22331600000,2738900000
"EMKAY",192.0284,461.99,3,3,-16810300000,42415300000
"EMMBI",196.4502,229.97,4,2,186645000000,98020000000
"EPL",5463.0221,8085.7,8,7,NA,3253000000000
"EUROTEXIND",9.7561,12.94,1,1,-21799600000,-6926900000
"EXCEL",9.4046,78.01,1,1,-2710800000,1150500000
"FCL",371.1855,4069.51,4,6,34583500000,157567400000
"FEDERALBNK",18130.4551,45029.39,9,9,NA,NA
