"","symbol","fund","AUM_ST","AUM_ED","PX_ST","PX_ED","AUM_CHG","PX_CHG_PCT","AUM_CHG_PX","OUTFLOW","AUM_CHG_PCT","OUTFLOW_PCT"
"1","MTUM","iShares Edge MSCI U.S.A. Momentum Factor ETF",10437356770,7542692360,119.1626,98.9,-2894664410,-0.170041607014281,-1774784918.15219,-1119879491.84781,-0.277336922919039,-0.107295315904758
"2","PDP","Invesco DWA Momentum ETF",1775915200,1179101150,59.3451,48,-596814050,-0.191171638433502,-339504618.50296,-257309431.49704,-0.336059993179855,-0.144888354746353
"3","ONEO","SPDR Russell 1000 Momentum Focus",634034956,387985163,75.7805,62.1784,-246049793,-0.179493405295558,-113805093.328859,-132244699.671141,-0.38806975967426,-0.208576354378702
"4","ULVM","USAA MSCI USA Value Momentum Blend Index ETF",397699625,332643750,53.4228,44.665,-65055875,-0.163933751132475,-65196391.3502288,140516.350228764,-0.163580428319489,0.000353322812986721
"5","UIVM","USAA MSCI International Value Momentum Blend Index ETF",316566400,274061490,48.4859,41.3919,-42504910,-0.146310576889364,-46317012.6077891,3812102.60778909,-0.13426854524043,0.012042031648934
"6","DWAS","Invesco DWA SmallCap Momentum ETF",541390500,246289050,56.36,42.93,-295101450,-0.238289567068843,-129007707.860185,-166093742.139815,-0.545080584162448,-0.306791017093605
"7","PIZ","Invesco DWA Developed Markets Momentum ETF",284335200,184185300,27.4533,22.84,-100149900,-0.168041729045324,-47780178.6364481,-52369721.3635519,-0.352224768512657,-0.184183039467333
"8","PTH","Invesco DWA Healthcare Momentum ETF",449024400,168659400,97.1987,69.91,-280365000,-0.280751697296363,-126064362.427481,-154300637.572519,-0.624387004358783,-0.34363530706242
"9","PSL","Invesco DWA Consumer Staples Momentum ETF",186599400,170761250,71.121,65.01,-15838150,-0.0859239886953219,-16033364.7361539,195214.736153852,-0.0848778184710133,0.00104617022430861
"10","PIE","Invesco DWA Emerging Markets Momentum ETF",227535550,169554000,17.5711,15.58,-57981550,-0.113316753077497,-25783589.7357024,-32197960.2642976,-0.254824136272332,-0.141507383194835
"11","UEVM","USAA MSCI Emerging Markets Value Momentum Blend Index ETF",155586380,157481880,45.3824,41.7641,1895500,-0.0797291461006909,-12404769.2222976,14300269.2222976,0.0121829430056795,0.0919120891063705
"12","PUI","Invesco DWA Utilities Momentum ETF",42033000,139950000,28.4251,28.7,97917000,0.00967103018107229,406502.411601012,97510497.588399,2.32952680037114,2.31985577019006
"13","IMTM","iShares Edge MSCI Intl Momentum Factor ETF",156987180,137144340,30.4481,25.63,-19842840,-0.158239758802684,-24841613.4983135,4998773.49831353,-0.126397837071791,0.0318419217308925
"14","PTF","Invesco DWA Technology Momentum ETF",182501200,103245150,65.13,52.0489,-79256050,-0.200846000307078,-36654636.0712421,-42601413.9287579,-0.434276870508249,-0.233430870201171
"15","GMOM","Cambria Global Momentum ETF",112263656,105688430,26.5814,24.4515,-6575226,-0.0801274575455018,-8995401.33004281,2420175.33004281,-0.05856949821766,0.0215579593278417
"16","VMOT","Alpha Architect Value Momentum Trend ETF",129539500,90398000,28.9138,24.13,-39141500,-0.165450407763767,-21432363.0965145,-17709136.9034855,-0.302158800983484,-0.136708393219717
"17","FDMO","Fidelity Momentum Factor ETF",103793685,86968980,35.4148,29.41,-16824705,-0.169556230728396,-17598866.0020105,774161.002010453,-0.162097578479847,0.00745865224854916
"18","PRN","Invesco DWA Industrials Momentum ETF",144261000,83422500,63.7902,50.55,-60838500,-0.207558527798941,-29942600.778803,-30895899.221197,-0.421725206396739,-0.214166678597798
"19","USVM","USAA MSCI USA Small Cap Value Momentum Blend Index ETF",74557800,70471170,54.573,45.0847,-4086630,-0.17386436516226,-12962944.5648947,8876314.56489473,-0.0548115690108882,0.119052796151372
