 STRATEGY , REBAL_FREQ , FORMATION_PERIOD , SHARPE ,RET,
 MOM_1 , 1 , 8 , 1.14 ,24.44%,
 MOM_1 , 2 , 7 , 1.15 ,23.60%,
 MOM_0 , 1 , 14 , 1.07 ,23.27%,
 MOM_1 , 1 , 11 , 1.12 ,23.23%,
 MOM_0 , 4 , 14 , 1.05 ,23.13%,
 MOM_1 , 1 , 13 , 1.09 ,22.83%,
 MOM_1 , 1 , 10 , 1.07 ,22.52%,
 MOM_1 , 11 , 10 , 1.11 ,22.48%,
 MOM_1 , 1 , 16 , 1.04 ,22.47%,
 MOM_1 , 4 , 14 , 1.05 ,22.40%,
 MOM_1 , 4 , 20 , 1.05 ,22.34%,
 MOM_1 , 1 , 17 , 1.05 ,22.33%,
 MOM_1 , 1 , 12 , 1.05 ,22.32%,2.12%
 MOM_1 , 1 , 7 , 1.09 ,22.29%,
 MOM_1 , 2 , 10 , 1.10 ,22.24%,
 MOM_1 , 1 , 15 , 1.01 ,22.21%,
 MOM_1 , 11 , 7 , 1.12 ,22.20%,
 MOM_0 , 11 , 10 , 1.07 ,22.02%,
 MOM_1 , 2 , 15 , 1.05 ,21.94%,
 MOM_1 , 1 , 9 , 1.04 ,21.90%,
 MOM_1 , 2 , 14 , 1.03 ,21.82%,
 MOM_1 , 11 , 11 , 1.06 ,21.73%,
 MOM_0 , 11 , 7 , 1.05 ,21.52%,
 MOM_1 , 4 , 15 , 1.01 ,21.49%,
 MOM_0 , 1 , 11 , 1.00 ,21.45%,
 MOM_0 , 1 , 9 , 1.00 ,21.41%,
 MOM_1 , 2 , 9 , 1.04 ,21.28%,
 MOM_1 , 2 , 13 , 1.01 ,21.13%,
 MOM_1 , 2 , 6 , 1.03 ,21.07%,
 MOM_1 , 7 , 8 , 1.06 ,21.03%,
 MOM_1 , 2 , 8 , 1.03 ,20.99%,
 MOM_1 , 2 , 12 , 1.03 ,20.82%,
 MOM_1 , 6 , 15 , 1.03 ,20.45%,
 MOM_1 , 4 , 7 , 1.05 ,20.38%,
 MOM_1 , 4 , 10 , 1.03 ,20.31%,
 MOM_1 , 6 , 10 , 1.00 ,20.13%,
 MOM_1 , 3 , 11 , 1.00 ,19.83%,
 MOM_1 , 11 , 6 , 1.01 ,19.78%,
 MOM_1 , 5 , 9 , 1.01 ,19.57%,
 MOM_1 , 7 , 9 , 1.00 ,19.28%,
