SCHEME_CODE,SCHEME_NAME,NSE_SYMBOL
115127,Aditya Birla Sun Life Gold ETF,BSLGOLDETF
115512,Aditya Birla Sun Life Nifty ETF,BSLNIFTY
113434,Axis Gold ETF,AXISGOLD
141545,Axis Nifty ETF,AXISNIFTY
141957,BHARAT 22 ETF,BHARATIWIN
140107,CPSE ETF,CPSEETF
139367,Edelweiss ETF - Nifty 100 Quality 30,EQ30
134536,Edelweiss ETF - Nifty 50,NIFTYEES
135859,Edelweiss ETF - Nifty Bank,EBANK
135853,HDFC Nifty 50 ETF - Growth Option,HDFCNIFETF
135854,HDFC Sensex ETF - Growth option,HDFCSENETF
113076,ICICI Prudential Gold ETF,IPGETF
139519,ICICI Prudential Midcap Select ETF,ICICIMCAP
123004,ICICI Prudential Nifty 100 ETF,ICNX100
121366,ICICI Prudential Nifty ETF,INIFTY
141596,ICICI Prudential Nifty Low Vol 30 ETF,ICICILOVOL
144587,ICICI Prudential Nifty Next 50 ETF,ICICINXT50
139455,ICICI Prudential NV20 ETF,ICICINV20
143247,ICICI Prudential S&P BSE 500 ETF,ICICI500
101705,ICICI Prudential Sensex ETF,ICICISENSX
139839,IDFC Nifty ETF,IDFNIFTYET
133122,Kotak Banking ETF,KOTAKBKETF
106193,KOTAK GOLD ETF,KOTAKGOLD
112351,Kotak Nifty ETF,KOTAKNIFTY
135744,Kotak NV 20 ETF - Dividend,KOTAKNV20
106929,Kotak PSU Bank ETF,KOTAKPSUBK
108479,Quantum Nifty ETF,QNIFTY
140087,Reliance ETF Bank BeES,BANKBEES
128331,Reliance ETF Consumption,RELCONS
128639,Reliance ETF Dividend Opportunities,RELDIVOPP
140088,Reliance ETF Gold BeES,GOLDBEES
140095,Reliance ETF Hang Seng BeES,HNGSNGBEES
140102,Reliance ETF Infra BeES,INFRABEES
140085,Reliance ETF Junior BeES,JUNIORBEES
139496,Reliance ETF Long Term Gilt,RRSLGETF
121146,Reliance ETF Nifty 100,RELCNX100
140084,Reliance ETF Nifty BeES,NIFTYBEES
134782,Reliance ETF NV20 ETF,RELNV20
140089,Reliance ETF PSU Bank BeES,PSUBNKBEES
140094,Reliance ETF Shariah BeES,SHARIABEES
139430,SBI-ETF 10 YEAR GILT,SETF10GILT
111954,SBI-ETF Gold,SBIGETS
135106,SBI-ETF Nifty 50,SETFNIFTY
134008,SBI-ETF Nifty Bank,SETFBANK
134013,SBI-ETF Nifty Next 50,SETFNIFJR
114456,MOFM100,M100
114984,MOFN100,N100
113069,MOFM50,M50
