IndexName,URL,FactsheetURL,BaseDate,LaunchDate,FundName,SchemeCode,FundStartDate,MatchScore,TotalAUM_Cr,IndexSchemeCount,AUM_Period
NIFTY 50,https://www.niftyindices.com/indices/equity/broad-based-indices/NIFTY--50,https://www.niftyindices.com/Factsheet/ind_nifty50.pdf,1995-11-03,1996-04-22,Franklin India INDEX FUND- NSE NIFTY 50 INDEX FUND- Direct - Growth,118581,2013-01-01,108,8151847.29,94,2026-03-31
NIFTY NEXT 50,https://www.niftyindices.com/indices/equity/broad-based-indices/NIFTY-Next-50,https://www.niftyindices.com/Factsheet/ind_next50.pdf,1996-11-04,1996-12-24,ICICI Prudential Nifty Next 50 Index Fund - Direct Plan -  Growth,120684,2013-01-02,113,2315298.62,59,2026-03-31
NIFTY 100,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-100,https://www.niftyindices.com/Factsheet/ind_nifty_100.pdf,2003-01-01,2005-12-01,Axis Nifty 100 Index Fund - Direct Plan - Growth Option,147666,2019-10-23,109,267497.86,12,2026-03-31
NIFTY 200,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-200,https://www.niftyindices.com/Factsheet/ind_nifty_200.pdf,2004-01-01,2011-07-19,NO MATCH,,,0,0.00,0,
Nifty Total Market,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-total-market,https://www.niftyindices.com/Factsheet/Factsheet_NiftyTotalMarket.pdf,2005-04-01,2021-10-13,Groww Nifty Total Market Index Fund - Direct Plan - Growth,152092,2023-10-25,118,47836.93,12,2026-03-31
NIFTY 500,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-500,https://www.niftyindices.com/Factsheet/ind_nifty_500.pdf,1995-01-01,Not in factsheet,Axis Nifty 500 Index Fund - Direct Plan - Growth Option,152731,2024-07-16,103,398000.11,16,2026-03-31
NIFTY500 MULTICAP 50:25:25,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty500-multicap-50-25-25-index,https://www.niftyindices.com/Factsheet/Factsheet_Nifty500_Multicap_50_25_25_index.pdf,2005-04-01,2020-12-02,NO MATCH,,,0,42500.72,2,2026-03-31
Nifty500 LargeMidSmall Equal-Cap Weighted,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty500-large-midsmall-equal-cap-weighted,https://www.niftyindices.com/Factsheet/Factsheet_Nifty500_LMS_EqualCapWeighted.pdf,2005-04-01,2024-06-07,NO MATCH,,,0,0.00,0,
NIFTY MIDCAP 150,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-midcap-150,https://www.niftyindices.com/Factsheet/ind_Nifty_Midcap_150.pdf,2005-04-01,2016-04-01,Nippon India Nifty Midcap 150 Index Fund - Direct Plan - Growth Option,148726,2021-02-23,110,890809.94,45,2026-03-31
NIFTY MIDCAP 50,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-midcap-50,https://www.niftyindices.com/Factsheet/ind_nifty_midcap50.pdf,2004-01-01,Not in factsheet,Axis Nifty Midcap 50 Index Fund - Direct Plan - Growth Option,149936,2022-03-31,115,66020.93,8,2026-03-31
Nifty Midcap Select,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-midcap-select-index,https://www.niftyindices.com/Factsheet/Factsheet_NiftyMidcapSelect.pdf,2005-10-03,2021-09-14,NO MATCH,,,0,0.00,0,
NIFTY Midcap 100,https://www.niftyindices.com/indices/equity/broad-based-indices/NIFTY-Midcap-100,https://www.niftyindices.com/Factsheet/ind_niftymidcap100.pdf,2003-01-01,2005-07-18,NO MATCH,,,0,0.00,0,
Nifty Smallcap 500,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-smallcap-500,https://www.niftyindices.com/Factsheet/Factsheet_Nifty_Smallcap_500.pdf,2005-04-01,2026-01-23,NO MATCH,,,0,0.00,0,
NIFTY SMALLCAP 250,https://www.niftyindices.com/indices/equity/broad-based-indices/niftysmallcap250,https://www.niftyindices.com/Factsheet/ind_Nifty_Smallcap_250.pdf,2005-04-01,2016-04-01,Nippon India Nifty Smallcap 250 Index Fund - Direct Plan - Growth Option,148519,2020-10-19,112,683412.79,37,2026-03-31
NIFTY SMALLCAP 50,https://www.niftyindices.com/indices/equity/broad-based-indices/niftysmallcap50,https://www.niftyindices.com/Factsheet/ind_niftysmallcap_50.pdf,2005-04-01,2016-04-01,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund-Direct Growth,148815,2021-04-06,111,95941.84,12,2026-03-31
NIFTY SMALLCAP 100,https://www.niftyindices.com/indices/equity/broad-based-indices/NIFTY-Smallcap-100,https://www.niftyindices.com/Factsheet/ind_niftysmallcap100.pdf,2004-01-01,2011-03-30,NO MATCH,,,0,0.00,0,
NIFTY MICROCAP 250,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-microcap-250,https://www.niftyindices.com/Factsheet/Factsheet_Nifty_Microcap_250_Index.pdf,2005-04-01,2021-05-10,Motilal Oswal Nifty Microcap 250 Index Fund- Direct- Growth Option,151814,2023-07-11,118,231614.01,2,2026-03-31
NIFTY LargeMidcap 250,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-largemidcap-250,https://www.niftyindices.com/Factsheet/Factsheet_NIFTY_LargeMidcap_250_Index.pdf,2005-04-01,2017-11-30,Zerodha Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,152156,2023-11-10,121,222762.91,12,2026-03-31
NIFTY MIDSMALLCAP 400,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-midsmallcap-400,https://www.niftyindices.com/Factsheet/ind_Nifty_MidSmallcap_400.pdf,2005-04-01,2016-04-01,Navi Nifty midsmallcap 400 Index Fund- Direct - Growth,154027,2025-12-10,121,934.97,1,2026-03-31
Nifty MidSmallcap400 50:50,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-midsmallcap400-50-50,https://www.niftyindices.com/Factsheet/Factsheet_Nifty_MidSmallcap400_5050.pdf,2005-04-01,2026-02-04,Zerodha Nifty MidSmallcap400 50:50 Index Fund - Direct Plan - Growth Option,154306,2026-04-13,120,0.00,0,
NIFTY INDIA FPI 150,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-india-fpi-150,https://www.niftyindices.com/Factsheet/Factsheet_NiftyIndiaFPI150Index.pdf,2022-10-03,2025-08-16,NO MATCH,,,0,0.00,0,
NIFTY AUTO,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-auto,https://www.niftyindices.com/Factsheet/ind_nifty_auto.pdf,2004-01-01,2011-07-12,ICICI Prudential Nifty Auto Index Fund - Direct Plan - Growth,150643,2022-10-12,110,34229.59,12,2026-03-31
NIFTY BANK,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-bank,https://www.niftyindices.com/Factsheet/ind_nifty_bank.pdf,2000-01-01,2003-09-15,Navi Nifty Bank Index Fund- Direct Plan- Growth,149804,2022-02-04,104,253983.40,24,2026-03-31
NIFTY CEMENT,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-cement,https://www.niftyindices.com/Factsheet/Factsheet_Nifty_Cement.pdf,2005-04-01,2026-02-16,NO MATCH,,,0,0.00,0,
NIFTY CHEMICALS,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-chemicals,https://www.niftyindices.com/Factsheet/Factsheet_Nifty_Chemicals.pdf,2005-04-01,2025-03-11,NO MATCH,,,0,0.00,0,
NIFTY FINANCIAL SERVICES,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-financial-services,https://www.niftyindices.com/Factsheet/ind_Nifty_Financial_Services.pdf,2004-01-01,2011-09-07,Kotak Nifty Financial Services Ex-Bank Index Fund - Direct Plan - Growth option,151911,2023-08-21,124,43340.40,12,2026-03-31
NIFTY FINANCIAL SERVICES 25/50,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-financial-services-25-50-index,https://www.niftyindices.com/Factsheet/Factsheet_Nifty_FinServ_25_50.pdf,2004-01-01,2020-05-20,NO MATCH,,,0,0.00,0,
Nifty Financial Services Ex Bank,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-financial--services-ex-bank,https://www.niftyindices.com/Factsheet/Factsheet_NiftyFinancialServicesExBank.pdf,2005-04-01,2022-02-02,NO MATCH,,,0,0.00,0,
NIFTY FMCG,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-fmcg,https://www.niftyindices.com/Factsheet/ind_nifty_FMCG.pdf,1996-01-01,1999-09-22,NO MATCH,,,0,0.00,0,
Nifty HEALTHCARE,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-healthcare-index,https://www.niftyindices.com/Factsheet/Factsheet_Nifty_Healthcare_Index.pdf,2005-04-01,2020-11-18,Tata Nifty MidSmall Healthcare Index Fund - Direct Plan - Growth,152564,2024-04-30,110,1586.41,4,2026-03-31
NIFTY IT,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-it,https://www.niftyindices.com/Factsheet/ind_nifty_it.pdf,1996-01-01,Not in factsheet,ICICI Prudential Nifty IT Index Fund - Direct Plan - Growth,150468,2022-08-19,108,105197.17,26,2026-03-31
NIFTY MEDIA,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-media,https://www.niftyindices.com/Factsheet/ind_nifty_media.pdf,2005-12-30,2011-07-19,NO MATCH,,,0,0.00,0,
NIFTY METAL,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-metal,https://www.niftyindices.com/Factsheet/ind_nifty_metal.pdf,2004-01-01,2011-07-12,NO MATCH,,,0,0.00,0,
NIFTY PHARMA,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-pharma,https://www.niftyindices.com/Factsheet/ind_nifty_pharma.pdf,2001-01-01,2005-07-01,ICICI Prudential Nifty Pharma Index Fund - Direct Plan - Growth,150930,2022-12-15,112,9680.82,4,2026-03-31
NIFTY PRIVATE BANK,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-private-bank,https://www.niftyindices.com/Factsheet/ind_nifty_private_bank.pdf,2005-04-01,2016-01-05,UTI Nifty Private Bank Index Fund - Direct Plan - Growth Option,152864,2024-09-24,112,29793.01,8,2026-03-31
NIFTY PSU BANK,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-psu-bank,https://www.niftyindices.com/Factsheet/ind_nifty_psu_bank.pdf,2004-01-01,2007-08-30,Groww Nifty PSU Bank Index Fund Direct Growth,154278,2026-03-27,108,48.01,4,2026-03-31
NIFTY REALTY,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-realty,https://www.niftyindices.com/Factsheet/ind_nifty_realty.pdf,2006-12-29,2007-08-30,Tata Nifty Realty Index Fund - Direct Plan - Growth,152570,2024-04-30,106,13958.69,9,2026-03-31
Nifty REITs & Realty,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-reits-realty,https://www.niftyindices.com/Factsheet/Factsheet_Nifty_REITs_and_Realty.pdf,2021-07-01,2026-03-02,NO MATCH,,,0,0.00,0,
NIFTY CONSUMER DURABLES,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-consumer-durables-index,https://www.niftyindices.com/Factsheet/Factsheet_nifty_consumer_durables.pdf,2005-04-01,2020-01-15,NO MATCH,,,0,0.00,0,
NIFTY OIL AND GAS INDEX,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-oil-and-gas-index,https://www.niftyindices.com/Factsheet/Factsheet_nifty_oil_and_gas.pdf,2005-04-01,2020-01-15,NO MATCH,,,0,0.00,0,
Nifty500 Healthcare,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty500-healthcare,https://www.niftyindices.com/Factsheet/Factsheet_Nifty500Healthcare.pdf,2005-04-01,2025-06-25,NO MATCH,,,0,0.00,0,
Nifty MidSmall Financial Services,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-midsmall--financial-services,https://www.niftyindices.com/Factsheet/Factsheet_NiftyMidSmallFinancialSevices.pdf,2005-04-01,2022-08-03,Motilal Oswal Nifty MidSmall Financial Services Index Fund - Direct Plan- Growth,153027,2024-11-25,133,8484.35,2,2026-03-31
Nifty MidSmall Healthcare,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-midsmallhealthcare,https://www.niftyindices.com/Factsheet/Factsheet_NiftyMidSmallHealthCare.pdf,2005-04-01,2022-08-03,Tata Nifty MidSmall Healthcare Index Fund - Direct Plan - Growth,152564,2024-04-30,125,18264.96,6,2026-03-31
Nifty MidSmall IT & Telecom,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-midsmall--it-telecom,https://www.niftyindices.com/Factsheet/Factsheet_NiftyMidSmallITAndTelecom.pdf,2005-04-01,2022-08-03,NO MATCH,,,0,0.00,0,
