"SYMBOL","RESULT_DATE","ON_DATE","AFTER_DATE","STRANGLE_PREMIUM_ON","STRANGLE_PREMIUM_AFTER","AVG_IV_ON","AVG_IV_AFTER","IV_CRUSH"
"AARTIIND","2023-05-08","2023-05-08","2023-05-09",31.95,28.1,0.358705236548041,0.32877877611381,-8.34291150088158
"AARTIIND","2023-02-03","2023-02-03","2023-02-06",32.55,37.85,0.379673896808254,0.356669718331588,-6.05893074821621
"AARTIIND","2022-05-27","2022-05-27","2022-05-30",64.6,70.9,0.400855810590273,0.389221548018773,-2.90235597542372
"AARTIIND","2022-02-05","2022-02-04","2022-02-07",70.15,69,0.403567087325125,0.428353687347227,6.14187846347669
"AARTIIND","2021-08-06","2021-08-06","2021-08-09",75.1,60.25,0.446077569027426,0.393744421887038,-11.7318490715615
"ABB","2023-05-03","2023-05-03","2023-05-04",180.1,214.05,0.300228406054768,0.263906448384935,-12.0981082859985
"ABB","2023-02-10","2023-02-10","2023-02-13",138.95,147.45,0.342791644992476,0.372674995206659,8.7176425244667
"ABB","2022-05-04","2022-05-04","2022-05-05",257.2,217.5,0.680796398209013,0.396186096585017,-41.8054946196435
"ABB","2022-02-10","2022-02-09","2022-02-11",192.45,168.4,0.556581461244276,0.392112892302423,-29.549774901624
"ABCAPITAL","2023-05-11","2023-05-10","2023-05-12",9,8.6,0.368378610038737,0.297052763085673,-19.3621032843258
"ABCAPITAL","2023-02-02","2023-02-02","2023-02-03",9.55,8.9,0.424350673912995,0.375118915853403,-11.6016684044871
"ABCAPITAL","2022-05-12","2022-05-12","2022-05-13",6.3,5.55,0.865272016838385,0.882647634189305,2.00811039913307
"ABCAPITAL","2022-02-03","2022-02-03","2022-02-04",9.45,8.35,0.457245695626065,0.425833886148597,-6.86978790132921
"ABFRL","2023-05-22","2023-05-19","2023-05-23",14.1,4.3,0.402642056594164,0.447288015226867,11.0882501968003
"ABFRL","2023-02-07","2023-02-06","2023-02-08",14.75,12.05,0.38978069720211,0.329917455214093,-15.3581853636473
"ABFRL","2022-05-18","2022-05-17","2022-05-19",16,16.4,0.51492400253709,0.49296246491582,-4.26500561501561
"ABFRL","2022-02-04","2022-02-03","2022-02-07",21.75,22.6,0.419242083997769,0.454192905324644,8.33666815926355
"ABFRL","2021-11-03","2021-11-02","2021-11-08",99.65,23.8,1.81209122109652,0.52435267554211,-71.0636711089623
"ACC","2023-01-31","2023-01-31","2023-02-01",203,200.75,0.544902325430392,0.517220486188478,-5.08014701901839
"ACC","2022-04-19","2022-04-19","2022-04-20",119.85,176.85,0.49814871549367,0.413160422714701,-17.0608274468288
"ACC","2022-02-09","2022-02-09","2022-02-10",125.75,98,0.362925054518646,0.300387948345365,-17.2314105611213
"ACC","2021-10-19","2021-10-19","2021-10-20",168.45,123.7,0.63204008420858,0.497045743333095,-21.3585094123453
"ACC","2021-07-19","2021-07-19","2021-07-20",82.25,162.7,0.317307259972411,0.336909306707583,6.17762314574093
"ACC","2021-04-19","2021-04-19","2021-04-20",101.6,85.85,0.449965874620684,0.386790275695463,-14.0400867017921
"ACC","2021-02-11","2021-02-11","2021-02-12",124.25,92.1,0.480630029520051,0.384234002649606,-20.0561806274786
"ACC","2020-10-19","2020-10-19","2020-10-20",76.9,60.25,0.418470800668134,0.352810364305949,-15.6905658070649
"ACC","2020-07-20","2020-07-20","2020-07-21",85.2,76.25,0.544284847504176,0.449049900057254,-17.4972623036674
"ACC","2020-04-21","2020-04-21","2020-04-22",91.85,123.6,0.714460517947842,0.734282362796028,2.77437931841504
"ACC","2020-02-07","2020-02-07","2020-02-10",85.3,78.95,0.338169818114372,0.299535894871609,-11.4244149457764
"ACC","2019-10-15","2019-10-15","2019-10-16",90.5,66.65,0.398459842666246,0.290638233747963,-27.059592303407
"ACC","2019-07-18","2019-07-18","2019-07-19",61.95,43.25,0.413793359004116,0.313702880321907,-24.1885174095347
"ACC","2019-04-23","2019-04-23","2019-04-24",46.1,51.85,0.557980640996275,0.22206272889302,-60.2024313071997
"ACC","2019-02-05","2019-02-04","2019-02-06",84.3,62.85,0.330910799761013,0.265545595631031,-19.7531190209535
"ACC","2018-10-17","2018-10-17","2018-10-19",78.1,119.6,0.60971112917799,0.589515416411178,-3.31234117278452
"ACC","2018-02-08","2018-02-07","2018-02-09",74.9,85.75,0.334673352155079,0.155978170933204,-53.3939078421374
"ACC","2017-10-17","2017-10-16","2017-10-18",61.6,36.15,0.298652386718723,0.217565536114377,-27.1509133060153
"ACC","2017-07-17","2017-07-17","2017-07-18",69.3,54.4,0.336819383149693,0.282841260199657,-16.0258362940017
"ADANIENT","2023-05-04","2023-05-03","2023-05-05",232.75,202.9,0.677804802470143,0.565635299894021,-16.5489388932241
"ADANIENT","2023-02-14","2023-02-13","2023-02-15",359.35,278.3,1.69832553930775,1.45056251391263,-14.5886651092882
"ADANIENT","2022-02-14","2022-02-14","2022-02-15",93.85,90.75,0.467757929383117,0.373035990933071,-20.250204753336
"ADANIENT","2021-10-27","2021-10-27","2021-10-28",28.95,156.7,0.558292252008845,NA,NA
"ADANIENT","2021-05-05","2021-05-04","2021-05-06",159.8,126.15,0.671089930430963,0.552674072794096,-17.6453038955334
"ADANIENT","2021-02-03","2021-02-02","2021-02-04",61,57.8,0.582132044544064,0.538907882160545,-7.4251474023171
"ADANIENT","2020-11-04","2020-11-03","2020-11-05",34.75,30.45,0.573941957100482,0.529407658506937,-7.75937323323239
"ADANIENT","2020-08-06","2020-08-06","2020-08-07",17.6,13.8,0.538193396362373,0.510949823653366,-5.06204143215898
"ADANIENT","2020-05-06","2020-05-05","2020-05-07",20.9,16.25,0.918550221315821,0.728413286701927,-20.6996776225826
"ADANIENT","2020-02-05","2020-02-04","2020-02-06",18.45,17.5,0.459431534343931,0.414268276843472,-9.83024762654836
"ADANIENT","2019-11-12","2019-11-11","2019-11-13",18.25,18.75,0.567417177591091,0.540158285857119,-4.80403005240284
"ADANIENT","2019-08-08","2019-08-07","2019-08-09",13.1,9.9,0.638535841913515,0.469146031715205,-26.5278468457927
