symbol,start_date,end_date,n_months,years,stock_ret,index_ret,excess_ret
ANTELOPUS,2013-09-30,2016-11-30,39,3.167693360711841,-0.0955097693582323,0.3000155256875241,-0.3955252950457564
AXISBANK,2013-06-30,2026-04-30,155,12.83230663928816,0.1332466250899771,0.20188146807244478,-0.06863484298246769
BAJAJHLDNG,2016-10-31,2026-04-30,115,9.494866529774127,0.19319611327658426,0.17059157535126346,0.0226045379253208
BALKRISIND,2015-05-31,2026-03-31,131,10.833675564681725,0.19149834247915654,0.16045970654010921,0.03103863593904732
CADILAHC,2019-06-30,2022-02-28,33,2.6666666666666665,0.17879484646351695,0.2245012333292289,-0.045706386865711934
CDSL,2020-03-31,2026-04-30,74,6.080766598220397,0.6891055564089503,0.30774982642778936,0.38135572998116096
CIPLA,2022-02-28,2026-04-30,51,4.167008898015058,0.0953737637065939,0.19844162590660686,-0.10306786220001296
COALINDIA,2022-05-31,2026-04-30,48,3.915126625598905,0.3647390257799663,0.21243843169713106,0.15230059408283525
DRREDDY,2024-10-31,2026-04-30,19,1.4948665297741273,0.02976509157386098,0.04136828088750333,-0.011603189313642348
EIDPARRY,2024-01-31,2026-04-30,28,2.245037645448323,0.14337544273349478,0.10292192931652555,0.04045351341696923
GUJGASLTD,2015-09-30,2017-08-31,24,1.919233401779603,0.24423568089470193,0.2250580528087951,0.01917762808590684
HCLTECH,2021-01-31,2026-04-30,64,5.242984257357974,0.09510890086362767,0.21814709706222724,-0.12303819619859957
HDFC,2022-04-30,2023-06-30,15,1.1663244353182751,0.23796881695892713,0.18031613621580456,0.057652680743122575
HDFCBANK,2014-11-30,2022-03-31,89,7.3319644079397674,0.1799751989248557,0.15807980257539178,0.021895396349463914
HDFCBANK,2023-07-31,2026-04-30,34,2.74880219028063,-0.004788743123279593,0.18107806838776974,-0.18586681151104933
HEROMOTOCO,2018-10-31,2023-04-30,55,4.4955509924709105,0.013392342444769723,0.17534267553840355,-0.16195033309363382
ICICIBANK,2014-05-31,2026-04-30,144,11.915126625598905,0.14994196285638406,0.18095752358807227,-0.031015560731688208
ICRA,2013-06-30,2026-04-30,155,12.83230663928816,0.1542934652568968,0.20188146807244478,-0.04758800281554798
IEX,2020-07-31,2026-04-30,70,5.746748802190281,0.15858524671418683,0.2674959032545381,-0.10891065654035126
IGL,2013-06-30,2020-01-31,80,6.587268993839836,0.43090902205813286,0.18495591865928374,0.24595310339884913
INFY,2023-03-31,2026-04-30,38,3.082819986310746,-0.03278350332627278,0.24669751224023218,-0.27948101556650495
IPCALAB,2014-11-30,2025-08-31,130,10.751540041067761,0.14059295090895363,0.17554119793078837,-0.034948247021834744
ITC,2020-03-31,2026-04-30,74,6.080766598220397,0.16581267356570772,0.30774982642778936,-0.14193715286208164
IVC,2013-06-30,2017-04-30,47,3.8329911019849416,0.11123641786478067,0.294558774381412,-0.1833223565166313
KOTAKBANK,2023-11-30,2026-04-30,30,2.414784394250513,0.03798571319745392,0.14821235222092355,-0.11022663902346963
LUPIN,2017-10-31,2022-01-31,52,4.251882272416153,-0.02875715349279717,0.14294844114073602,-0.1717055946335332
M&M,2024-12-31,2026-04-30,17,1.3278576317590691,0.028733049124972876,0.0363220327209437,-0.007588983595970822
MAHSCOOTER,2013-06-30,2019-10-31,77,6.335386721423682,0.5061426262065698,0.17946891834723488,0.3266737078593349
MAHSCOOTER,2022-04-30,2026-04-30,49,4,0.3668345058268263,0.1929622691570405,0.1738722366697858
MARUTI,2023-04-30,2026-04-30,37,3.0006844626967832,0.16031063990693895,0.22997160362749414,-0.06966096372055519
MCX,2020-03-31,2026-01-31,71,5.83709787816564,0.49896242532993273,0.3120927837570491,0.18686964157288366
MHRIL,2013-06-30,2020-10-31,89,7.337440109514032,0.03265716847489841,0.16217616858499184,-0.12951900011009343
MOTILALOFS,2021-09-30,2025-06-30,46,3.7481177275838466,0.5097301851812424,0.20067018414043103,0.3090600010408113
MPHASIS,2013-06-30,2021-12-31,103,8.503764544832306,0.33980876459658105,0.21932059813673788,0.12048816645984317
MTEDUCARE,2014-03-31,2017-01-31,35,2.839151266255989,0.1777841205230415,0.25630035237547344,-0.07851623185243195
NH,2024-12-31,2026-04-30,17,1.3278576317590691,0.2823178615783548,0.0363220327209437,0.24599582885741111
NMDC,2022-08-31,2024-09-30,26,2.083504449007529,0.8650482926241831,0.36041001507843173,0.5046382775457514
NOIDATOLL,2013-06-30,2016-09-30,40,3.252566735112936,0.11188216013437491,0.28847885862579314,-0.17659669849141824
NSLNISP,2022-10-31,2024-02-29,17,1.3305954825462012,0.6415741116535505,0.3660711827167529,0.2755029289367976
OFSS,2020-03-31,2024-06-30,52,4.249144421629021,0.5617262200641608,0.4490759165579974,0.11265030350616345
PERSISTENT,2014-11-30,2021-12-31,86,7.085557837097878,0.305910317039783,0.16953530918744253,0.13637500785234047
PFIZER,2014-12-31,2018-12-31,49,4,0.08283171400385392,0.12298923720659216,-0.04015752320273824
POWERGRID,2021-09-30,2026-04-30,56,4.5804243668720055,0.269018509046679,0.1628502118393942,0.10616829720728482
SUNPHARMA,2018-08-31,2023-03-31,56,4.5804243668720055,0.10511633728471681,0.11980971877677726,-0.014693381492060453
SWARAJENG,2024-02-29,2026-04-30,27,2.1656399726214923,0.3055114540196515,0.10790984561815198,0.19760160840149954
UTIAMC,2022-11-30,2024-11-30,25,2.001368925393566,0.33555400706605365,0.3286422135006646,0.006911793565389068
ZYDUSWELL,2013-10-31,2021-02-28,89,7.329226557152635,0.18911906113486276,0.20931803968271367,-0.02019897854785091
