"INDEX","YEARS","TYPE","TOTAL_UNITS"
"NIFTY 50","1990/1994","DAILY","142.04"
"NIFTY 50","1990/1994","MONTHLY","138.78"
"NIFTY 50","1991/1995","DAILY","141.94"
"NIFTY 50","1991/1995","MONTHLY","139.72"
"NIFTY 50","1992/1996","DAILY","120.04"
"NIFTY 50","1992/1996","MONTHLY","119.25"
"NIFTY 50","1993/1997","DAILY","119.3"
"NIFTY 50","1993/1997","MONTHLY","119.5"
"NIFTY 50","1994/1998","DAILY","116.89"
"NIFTY 50","1994/1998","MONTHLY","117.54"
"NIFTY 50","1995/1999","DAILY","119.86"
"NIFTY 50","1995/1999","MONTHLY","120.32"
"NIFTY 50","1996/2000","DAILY","113.76"
"NIFTY 50","1996/2000","MONTHLY","114.2"
"NIFTY 50","1997/2001","DAILY","110.65"
"NIFTY 50","1997/2001","MONTHLY","111"
"NIFTY 50","1998/2002","DAILY","111.81"
"NIFTY 50","1998/2002","MONTHLY","112.35"
"NIFTY 50","1999/2003","DAILY","106.99"
"NIFTY 50","1999/2003","MONTHLY","106.89"
"NIFTY 50","2000/2004","DAILY","100.09"
"NIFTY 50","2000/2004","MONTHLY","100.32"
"NIFTY 50","2001/2005","DAILY","93.45"
"NIFTY 50","2001/2005","MONTHLY","93.25"
"NIFTY 50","2002/2006","DAILY","78.58"
"NIFTY 50","2002/2006","MONTHLY","78.19"
"NIFTY 50","2003/2007","DAILY","60.28"
"NIFTY 50","2003/2007","MONTHLY","59.52"
"NIFTY 50","2004/2008","DAILY","44.86"
"NIFTY 50","2004/2008","MONTHLY","44.68"
"NIFTY 50","2005/2009","DAILY","36.5"
"NIFTY 50","2005/2009","MONTHLY","36.09"
"NIFTY 50","2006/2010","DAILY","29.93"
"NIFTY 50","2006/2010","MONTHLY","29.66"
"NIFTY 50","2007/2011","DAILY","27.06"
"NIFTY 50","2007/2011","MONTHLY","26.94"
"NIFTY 50","2008/2012","DAILY","26.2"
"NIFTY 50","2008/2012","MONTHLY","26.15"
"NIFTY 50","2009/2013","DAILY","24.46"
"NIFTY 50","2009/2013","MONTHLY","24.26"
"NIFTY 50","2010/2014","DAILY","21.59"
"NIFTY 50","2010/2014","MONTHLY","21.51"
"NIFTY 50","2011/2015","DAILY","19.95"
"NIFTY 50","2011/2015","MONTHLY","19.87"
"NIFTY 50","2012/2016","DAILY","18.36"
"NIFTY 50","2012/2016","MONTHLY","18.25"
"NIFTY 50","2013/2017","DAILY","16.25"
"NIFTY 50","2013/2017","MONTHLY","16.17"
"NIFTY 50","2014/2018","DAILY","13.77"
"NIFTY 50","2014/2018","MONTHLY","13.67"
"NIFTY BANK","2000/2004","DAILY","99.54"
"NIFTY BANK","2000/2004","MONTHLY","99.47"
