"MonthEnd","Coins","Count"
2019-03-31,"BNBUSDT",1
2019-04-30,"BNBUSDT,BTCUSDT,NEOUSDT",3
2019-05-31,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,NEOUSDT",5
2019-06-30,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,NEOUSDT",5
2019-07-31,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,NEOUSDT",5
2019-08-31,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,NEOUSDT,QTUMUSDT",6
2019-09-30,"ADAUSDT,BNBUSDT,BTCUSDT,LTCUSDT,NEOUSDT,QTUMUSDT",6
2019-10-31,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,ETCUSDT,IOTAUSDT,LTCUSDT,NEOUSDT,ONTUSDT,QTUMUSDT,TRXUSDT",11
2019-11-30,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,ETCUSDT,IOTAUSDT,LTCUSDT,NEOUSDT,ONTUSDT",9
2019-12-31,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,ETCUSDT,IOTAUSDT,LTCUSDT,NEOUSDT,ONTUSDT",9
2020-01-31,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,ETCUSDT,ICXUSDT,IOTAUSDT,LTCUSDT,NEOUSDT,ONTUSDT,TRXUSDT",11
2020-02-29,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,ETCUSDT,ETHUSDT,ICXUSDT,IOTAUSDT,LTCUSDT,NEOUSDT,ONTUSDT,TRXUSDT",12
2020-03-31,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,ETCUSDT,ETHUSDT,ICXUSDT,IOTAUSDT,LTCUSDT,NEOUSDT,ONTUSDT,TRXUSDT",12
2020-04-30,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,ETCUSDT,ETHUSDT,ICXUSDT,IOTAUSDT,LTCUSDT,NEOUSDT,ONTUSDT,TRXUSDT",12
2020-05-31,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,ETCUSDT,ETHUSDT,ICXUSDT,LTCUSDT,NEOUSDT,ONTUSDT,TRXUSDT",11
2020-06-30,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,ETCUSDT,ETHUSDT,ICXUSDT,LINKUSDT,LTCUSDT,NEOUSDT,NULSUSDT,ONTUSDT,TRXUSDT,VETUSDT",14
2020-07-31,"ADAUSDT,BATUSDT,BNBUSDT,BTCUSDT,BTTUSDT,EOSUSDT,ETCUSDT,ETHUSDT,FETUSDT,HOTUSDT,ICXUSDT,IOTAUSDT,LINKUSDT,LTCUSDT,NEOUSDT,NULSUSDT,ONGUSDT,ONTUSDT,QTUMUSDT,TRXUSDT,VETUSDT,ZILUSDT,ZRXUSDT",23
2020-08-31,"ADAUSDT,BATUSDT,BTCUSDT,BTTUSDT,CELRUSDT,DASHUSDT,EOSUSDT,ETCUSDT,ETHUSDT,FETUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,LINKUSDT,LTCUSDT,NANOUSDT,NEOUSDT,NULSUSDT,OMGUSDT,ONGUSDT,ONTUSDT,QTUMUSDT,THETAUSDT,TRXUSDT,VETUSDT,WAVESUSDT,XMRUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",31
2020-09-30,"ADAUSDT,ATOMUSDT,BATUSDT,BTCUSDT,BTTUSDT,CELRUSDT,DASHUSDT,ENJUSDT,ETCUSDT,ETHUSDT,FETUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,LINKUSDT,LTCUSDT,MATICUSDT,NANOUSDT,NEOUSDT,NULSUSDT,OMGUSDT,ONGUSDT,THETAUSDT,TRXUSDT,VETUSDT,WAVESUSDT,XMRUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",31
2020-10-31,"ADAUSDT,ATOMUSDT,BATUSDT,BTCUSDT,BTTUSDT,CELRUSDT,DASHUSDT,ENJUSDT,ETHUSDT,FETUSDT,FTMUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,LINKUSDT,MATICUSDT,NANOUSDT,NEOUSDT,NULSUSDT,OMGUSDT,ONEUSDT,ONGUSDT,TFUELUSDT,THETAUSDT,TRXUSDT,VETUSDT,WAVESUSDT,XMRUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",31
2020-11-30,"ADAUSDT,ALGOUSDT,ATOMUSDT,BATUSDT,BTCUSDT,CELRUSDT,DASHUSDT,DOGEUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,LINKUSDT,LTCUSDT,MATICUSDT,NANOUSDT,NEOUSDT,NULSUSDT,OMGUSDT,ONEUSDT,ONGUSDT,QTUMUSDT,TFUELUSDT,THETAUSDT,TRXUSDT,VETUSDT,WAVESUSDT,XLMUSDT,XMRUSDT,XRPUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",37
2020-12-31,"ADAUSDT,ALGOUSDT,ANKRUSDT,ATOMUSDT,BATUSDT,BNBUSDT,BTCUSDT,CELRUSDT,DASHUSDT,DOGEUSDT,DUSKUSDT,ETHUSDT,FETUSDT,FTMUSDT,HOTUSDT,ICXUSDT,LINKUSDT,LTCUSDT,MATICUSDT,MITHUSDT,NANOUSDT,NEOUSDT,OMGUSDT,ONEUSDT,ONGUSDT,TFUELUSDT,THETAUSDT,TRXUSDT,VETUSDT,WAVESUSDT,WINUSDT,XLMUSDT,XMRUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",36
2021-01-31,"ADAUSDT,ALGOUSDT,ANKRUSDT,ATOMUSDT,BATUSDT,BNBUSDT,BTCUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DUSKUSDT,ENJUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FUNUSDT,GTOUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,KEYUSDT,LINKUSDT,LTCUSDT,MATICUSDT,MFTUSDT,MITHUSDT,NANOUSDT,NEOUSDT,NPXSUSDT,OMGUSDT,ONEUSDT,ONGUSDT,PERLUSDT,QTUMUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TRXUSDT,VETUSDT,WANUSDT,WAVESUSDT,WINUSDT,XLMUSDT,XMRUSDT,XRPUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",55
