"MonthEnd","Coins","Count"
2019-01-31,"BTCUSDT,ETHUSDT",2
2019-02-28,"BTCUSDT,ETHUSDT",2
2019-03-31,"BNBUSDT,BTCUSDT,ETHUSDT",3
2019-04-30,"BNBUSDT,BTCUSDT,ETHUSDT,NEOUSDT",4
2019-05-31,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,NEOUSDT",5
2019-06-30,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,NEOUSDT",5
2019-07-31,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,NEOUSDT",5
2019-08-31,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,NEOUSDT",5
2019-09-30,"ADAUSDT,BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,NEOUSDT",6
2019-10-31,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,ETHUSDT,IOTAUSDT,LTCUSDT,NEOUSDT,TRXUSDT",9
2019-11-30,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,ETCUSDT,ETHUSDT,IOTAUSDT,LTCUSDT,NEOUSDT,TRXUSDT",10
2019-12-31,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,ETHUSDT,IOTAUSDT,LTCUSDT,NEOUSDT,NULSUSDT,ONTUSDT,TRXUSDT",11
2020-01-31,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,ETCUSDT,ICXUSDT,IOTAUSDT,LTCUSDT,NEOUSDT,TRXUSDT",10
2020-02-29,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,ETCUSDT,ICXUSDT,IOTAUSDT,LTCUSDT,NEOUSDT,NULSUSDT,TRXUSDT",11
2020-03-31,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,ETCUSDT,IOTAUSDT,LTCUSDT,NEOUSDT,ONTUSDT,TRXUSDT",10
2020-04-30,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,ETCUSDT,IOTAUSDT,LTCUSDT,TRXUSDT",8
2020-05-31,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,LTCUSDT,NEOUSDT",6
2020-06-30,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,LINKUSDT,LTCUSDT,NEOUSDT,NULSUSDT",8
2020-07-31,"ADAUSDT,BTCUSDT,EOSUSDT,HOTUSDT,LINKUSDT,LTCUSDT,NEOUSDT,NULSUSDT,ONGUSDT,VETUSDT,ZILUSDT,ZRXUSDT",12
