"Universe","VIX1_CAGR","VIX1_Sharpe","VIX1_MaxDD","VIX2_CAGR","VIX2_Sharpe","VIX2_MaxDD","M10_1_CAGR","M10_1_Sharpe","M10_1_MaxDD","M10_2_CAGR","M10_2_Sharpe","M10_2_MaxDD","dVIX1_MaxDD","dVIX1_CAGR","dVIX2_MaxDD","dVIX2_CAGR"
"Baseline",0.130588499297015,0.90622049489337,0.242704112427544,0.131266917396459,0.947741863937283,0.198497132583032,0.136855891871641,0.86854801410062,0.459954167973843,0.113192530594325,0.765157493052862,0.468870699343427,0,0,0,0
"NIFTY 500 TR",0.130588499297015,0.90622049489337,0.242704112427544,0.137885255498202,0.989435710725076,0.182005240565237,0.136855891871641,0.86854801410062,0.459954167973843,0.122616602763719,0.811114060714877,0.468870699343427,0,0,-1.64918920177949,0.661833810174262
"NIFTY NEXT 50 TR",0.116728019684085,0.794995745982501,0.242704112427544,0.123973649255418,0.894186416090965,0.201712088861217,0.112532708199891,0.69523488582255,0.459954167973843,0.124298589227571,0.81041025644153,0.467817572352407,1.11022302462516e-14,-1.38604796129302,0.321495627818535,-0.729326814104092
"NIFTY 100 TR",0.129723960018003,0.901737580344297,0.242704112427544,0.140377589788139,0.983517033743674,0.174544498819309,0.138841118694174,0.8832544182676,0.459954167973843,0.123526706857661,0.794280452960744,0.468870699343427,0,-0.0864539279011867,-2.39526337637228,0.911067239167984
"NIFTY MIDCAP 100 TR",0.132892042603866,0.905779401686991,0.24991114026392,0.120808052807165,0.882660389235549,0.209238827159919,0.134746051824231,0.854283607959608,0.459954167973843,0.114815502556716,0.778721426579355,0.443837150377599,0.720702783637606,0.230354330685034,1.07416945768871,-1.0458864589294
"NIFTY SMALLCAP 50 TR",0.12097022863696,0.814311438377326,0.242704112427544,0.126045559723902,0.86097411853306,0.221947743152693,0.128987466246399,0.779064094629602,0.480147982669398,0.119934617042779,0.769450026227083,0.471134121555277,1.11022302462516e-14,-0.961827066005561,2.34506105696605,-0.522135767255749
"NIFTY500 MULTICAP 50:25:25 TR",0.130583057295048,0.906951455029577,0.237716514035841,0.126319887946147,0.920792014904392,0.184287546271815,0.136855891871641,0.86854801410062,0.459954167973843,0.115655727351929,0.779064540808296,0.468870699343427,-0.498759839170282,-0.000544200196728184,-1.42095863112168,-0.4947029450312
"NIFTY 200 TR",0.127880931732007,0.890511599995744,0.242704112427544,0.142530683390182,1.01662397820575,0.172853830310077,0.134605891035941,0.856745794661835,0.459954167973843,0.127299992800523,0.834703729973125,0.468870699343427,0,-0.270756756500834,-2.5643302272955,1.12637659937234
"NIFTY MIDCAP 50 TR",0.123459295209349,0.810388544771078,0.273041810698355,0.121736834247055,0.848902850766954,0.239148816051062,0.123488776845784,0.780101122793036,0.459954167973843,0.10181950727799,0.678105297661765,0.484827089968062,3.03376982708108,-0.712920408766649,4.06516834680297,-0.953008314940385
"NIFTY SMALLCAP 100 TR",0.125980700730824,0.848878296432925,0.245784693593912,0.118934167425019,0.831589090613913,0.21789417991142,0.118828946797356,0.761185552036714,0.459954167973843,0.10920268741633,0.72689721451928,0.461920835604279,0.308058116636822,-0.460779856619165,1.93970473283877,-1.23327499714405
"NIFTY MICROCAP 250 TR",0.114700314514101,0.738781511502704,0.308869018659302,0.132369259055095,0.897394649715536,0.257594729859147,0.140923801928132,0.831042656878046,0.506800284567372,0.132014683541574,0.846202942305722,0.483186202954852,6.61649062317579,-1.58881847829142,5.90975972761152,0.110234165863576
"NIFTY MIDSMALLCAP 400 TR",0.130588499297015,0.90622049489337,0.242704112427544,0.12589696707036,0.905900103946348,0.209521878105365,0.136855891871641,0.86854801410062,0.459954167973843,0.117377580270156,0.788550282679595,0.466319714120813,0,0,1.10247455223331,-0.536995032609955
"NIFTY MIDSMALLCAP400 50:50 TR",0.131283869776956,0.910485484258437,0.242704112427544,0.123196500204949,0.883952576476752,0.219215333916202,0.136753770677113,0.867491500543944,0.459954167973843,0.116322415724578,0.781871342822259,0.465124172488566,0,0.069537047994106,2.07182013331698,-0.807041719151025
"NIFTY SMALLCAP 500 TR",0.119744342169012,0.822556507257044,0.264380066326351,0.12594970204278,0.878598910242562,0.233413671828587,0.12511580677702,0.795676795007149,0.486078023899352,0.114430577226969,0.762503293636449,0.470223157436192,2.16759538988068,-1.08441571280034,3.49165392455548,-0.531721535367891
"NIFTY TOTAL MARKET TR",0.130588499297015,0.90622049489337,0.242704112427544,0.142219135900095,1.01725099590541,0.173212697815662,0.136855891871641,0.86854801410062,0.459954167973843,0.122549592414649,0.813758484385395,0.468870699343427,0,0,-2.52844347673704,1.09522185036364
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED TR",0.131879821125,0.914703101784102,0.23803439957699,0.122189333877667,0.897553322865626,0.19150855569777,0.136855891871641,0.86854801410062,0.459954167973843,0.112542338958647,0.763483441109803,0.468870699343427,-0.466971285055418,0.129132182798508,-0.698857688526211,-0.907758351879262
"NIFTY MIDCAP SELECT TR",0.105175881846855,0.710152592426857,0.270827999278144,0.1263170617724,0.864001997110084,0.235255220533016,0.123960869377788,0.741083509178169,0.443436899501155,0.118232530172576,0.758146967710498,0.450687187612863,2.81238868505995,-2.54126174501605,3.67580879499839,-0.494985562405903
"NIFTY LARGEMIDCAP 250 TR",0.128871593827414,0.895552717609194,0.242704112427544,0.130470109566985,0.95248737734592,0.178503536751733,0.135429244449193,0.860619352874417,0.459954167973843,0.121658147509979,0.813145424834988,0.468870699343427,0,-0.171690546960113,-1.99935958312989,-0.0796807829474222
