"TopN","Regime","Lookback","Months","CAGR","Sharpe","MaxDD"
"Top 1","Green",1,70,0.0293379249328294,0.28621156811303,0.261281595077269
"Top 1","Yellow",1,53,0.0461355479365841,0.33083072817062,0.353653987182407
"Top 1","Red",1,4,0.270227172094406,1.62343866436116,0.0325867432400097
"Top 1","Green",2,70,0.0674017078392437,0.545044598217813,0.260844637372251
"Top 1","Yellow",2,53,0.0860547831587357,0.56455019014676,0.206613281000786
"Top 1","Red",2,4,0.65906004591146,2.86235153890295,0.0325867432400097
"Top 1","Green",3,70,0.103166432869259,0.795759579180759,0.170625516720322
"Top 1","Yellow",3,53,0.088131864881233,0.571778828200681,0.203373669308321
"Top 1","Red",3,4,0.620709389368209,2.73231402937292,0.0349301461771899
"Top 1","Green",4,70,0.0978355430074673,0.78612538407372,0.180560555213933
"Top 1","Yellow",4,53,0.106205724875588,0.672793538102057,0.146089004905462
"Top 1","Red",4,4,0.620709389368209,2.73231402937292,0.0349301461771899
"Top 1","Green",5,70,0.0556360930382445,0.506564405666844,0.199687911862124
"Top 1","Yellow",5,53,0.0793596062042496,0.507972402134795,0.211000740354654
"Top 1","Red",5,4,0.884995792727177,3.06474120876558,0.0349301461771899
"Top 1","Green",6,70,0.0803714445716066,0.61667324618295,0.202673888615093
"Top 1","Yellow",6,53,0.112749152294896,0.724722559867993,0.120494009137078
"Top 1","Red",6,4,0.836874386776818,4.5726484070969,0.00166858540672976
"Top 1","Green",7,70,0.10301730608112,0.757871720276399,0.163825473891063
"Top 1","Yellow",7,53,0.0611988888640593,0.435796229586381,0.187184039203471
"Top 1","Red",7,4,0.836874386776818,4.5726484070969,0.00166858540672976
"Top 1","Green",8,70,0.120253670354174,0.885584877506246,0.147045272343185
"Top 1","Yellow",8,53,0.0702493055111213,0.495748910594823,0.222293067093243
"Top 1","Red",8,4,0.836874386776818,4.5726484070969,0.00166858540672976
"Top 1","Green",9,70,0.133353868983957,0.934958647100206,0.140736462258649
"Top 1","Yellow",9,53,0.11386319893626,0.721058544760115,0.187148497227605
"Top 1","Red",9,4,1.00501550318016,5.23801307476997,0
"Top 1","Green",10,70,0.154030926908725,1.13388556797246,0.143668514452755
"Top 1","Yellow",10,53,0.101330137848937,0.674593161407102,0.224200887201545
"Top 1","Red",10,4,0.546670503256768,3.19938232328503,0
"Top 1","Green",11,70,0.137673246647303,1.03226876715714,0.148247354625901
"Top 1","Yellow",11,53,0.10112288287551,0.66763535217953,0.246757793795347
"Top 1","Red",11,4,0.158451006648632,0.911133908330441,0.0358632871696239
"Top 1","Green",12,70,0.0626567144086223,0.517557712648153,0.180780094510966
"Top 1","Yellow",12,53,0.102337946024338,0.642889626897971,0.208523735500913
"Top 1","Red",12,4,0.546670503256768,3.19938232328503,0
"Top 2","Green",1,70,0.0505241005809154,0.44700432906902,0.227460418788062
"Top 2","Yellow",1,53,0.0488616555616068,0.358324866676341,0.339107049440101
"Top 2","Red",1,4,0.718758236174216,3.67027098870401,0.0159872612794456
"Top 2","Green",2,70,0.0511499708859275,0.475472933362918,0.208844799210247
"Top 2","Yellow",2,53,0.0647272428104064,0.46754731037731,0.238974766780143
"Top 2","Red",2,4,0.940178199711368,3.96531111445827,0.0171815717000074
"Top 2","Green",3,70,0.0718804343893553,0.60695417228505,0.187799333116684
"Top 2","Yellow",3,53,0.106388770237625,0.743692221826821,0.128466245909473
"Top 2","Red",3,4,0.940178199711368,3.96531111445827,0.0171815717000074
"Top 2","Green",4,70,0.105061156356521,0.91290942444758,0.152922838045419
"Top 2","Yellow",4,53,0.0770930064645681,0.523984329042121,0.190214543443991
"Top 2","Red",4,4,0.940178199711368,3.96531111445827,0.0171815717000074
"Top 2","Green",5,70,0.0626298115817618,0.551250580999698,0.224128885091543
"Top 2","Yellow",5,53,0.0423486986642105,0.32235947898161,0.270136391590747
"Top 2","Red",5,4,0.940178199711368,3.96531111445827,0.0171815717000074
"Top 2","Green",6,70,0.0940413758228176,0.745649015857368,0.147541515831604
"Top 2","Yellow",6,53,0.0854298793465875,0.585251518949577,0.206665655259721
"Top 2","Red",6,4,0.940178199711368,3.96531111445827,0.0171815717000074
"Top 2","Green",7,70,0.125894368663946,1.0068982451795,0.130130040850412
"Top 2","Yellow",7,53,0.0894803615668858,0.609687318007363,0.173867257670792
"Top 2","Red",7,4,0.933113740063509,3.899060952776,0.0183758821205694
"Top 2","Green",8,70,0.141805254723648,1.06019085931492,0.156197991979404
"Top 2","Yellow",8,53,0.0772055663584514,0.530967616454097,0.170643297585589
"Top 2","Red",8,4,0.924239045363556,3.8830409315925,0.0186612979588527
"Top 2","Green",9,70,0.120096376979769,0.903877091775585,0.140243622059961
"Top 2","Yellow",9,53,0.120213530526177,0.808975412834461,0.169621576365216
"Top 2","Red",9,4,0.926643628744392,4.09509684671261,0.0148649684181608
"Top 2","Green",10,70,0.120542330227232,0.921219552492601,0.126170544217292
"Top 2","Yellow",10,53,0.11580907721122,0.780348784541127,0.169621576365216
"Top 2","Red",10,4,0.297684838692289,2.03526021152136,0.0148649684181608
"Top 2","Green",11,70,0.140761610014831,1.03595975689414,0.174689794736931
"Top 2","Yellow",11,53,0.114862437438259,0.76201070832814,0.214220593709969
"Top 2","Red",11,4,0.489905457307724,3.20995421950154,0.0148649684181608
"Top 2","Green",12,70,0.102857159519767,0.801797361624398,0.126161080321269
"Top 2","Yellow",12,53,0.12031287585994,0.791519048767532,0.214220593709969
"Top 2","Red",12,4,0.626731601378999,4.11127283650883,0
