"Date","AvailableSectors"
2006-04-29,26
2006-05-31,26
2006-06-30,26
2006-07-31,26
2006-08-31,26
2006-09-29,26
2006-10-31,26
2006-11-30,26
2006-12-29,26
2007-01-31,26
2007-02-28,26
2007-03-30,26
2007-04-30,26
2007-05-31,26
2007-06-29,26
2007-07-31,26
2007-08-31,27
2007-09-28,27
2007-10-31,27
2007-11-30,27
2007-12-31,27
2008-01-31,27
2008-02-29,27
2008-03-31,27
2008-04-30,27
2008-05-30,27
2008-06-30,27
2008-07-31,27
2008-08-29,27
2008-09-30,27
2008-10-31,27
2008-11-28,27
2008-12-31,27
2009-01-30,27
2009-02-27,27
2009-03-31,27
2009-04-29,27
2009-05-29,27
2009-06-30,27
2009-07-31,27
2009-08-31,27
2009-09-30,27
2009-10-30,27
2009-11-30,27
2009-12-31,27
2010-01-29,27
2010-02-26,27
2010-03-31,27
2010-04-30,27
2010-05-31,27
2010-06-30,27
2010-07-30,27
2010-08-31,27
2010-09-30,27
2010-10-29,27
2010-11-30,27
2010-12-31,27
2011-01-31,27
2011-02-28,27
2011-03-31,27
2011-04-29,27
2011-05-31,27
2011-06-30,27
2011-07-29,27
2011-08-30,27
2011-09-30,27
2011-10-31,27
2011-11-30,27
2011-12-30,27
2012-01-31,27
2012-02-29,27
2012-03-30,27
2012-04-30,27
2012-05-31,27
2012-06-29,27
2012-07-31,27
2012-08-31,27
2012-09-28,27
2012-10-31,27
2012-11-30,27
2012-12-31,27
2013-01-31,27
2013-02-28,27
2013-03-28,27
2013-04-30,27
2013-05-31,27
2013-06-28,27
2013-07-31,27
2013-08-30,27
2013-09-30,27
2013-10-31,27
2013-11-29,27
2013-12-31,27
2014-01-31,27
2014-02-28,27
2014-03-31,27
2014-04-30,27
2014-05-30,27
2014-06-30,27
2014-07-31,27
2014-08-28,27
2014-09-30,27
2014-10-31,27
2014-11-28,27
2014-12-31,27
2015-01-30,27
2015-02-28,27
2015-03-31,27
2015-04-30,27
2015-05-29,27
2015-06-30,27
2015-07-31,27
2015-08-31,27
2015-09-30,27
2015-10-30,27
2015-11-30,27
2015-12-31,27
2016-01-29,27
2016-02-29,27
2016-03-31,27
2016-04-29,27
2016-05-31,27
2016-06-30,27
2016-07-29,27
2016-08-31,27
2016-09-30,27
2016-10-30,27
2016-11-30,27
2016-12-30,27
2017-01-31,27
2017-02-28,27
2017-03-31,27
2017-04-28,27
2017-05-31,27
2017-06-30,27
2017-07-31,27
2017-08-31,27
2017-09-29,27
2017-10-31,27
2017-11-30,27
2017-12-29,27
2018-01-31,27
2018-02-28,27
2018-03-28,27
2018-04-30,29
2018-05-31,29
2018-06-29,29
2018-07-31,29
2018-08-31,29
2018-09-28,29
2018-10-31,29
2018-11-30,29
2018-12-31,29
2019-01-31,29
2019-02-28,29
2019-03-29,29
2019-04-30,29
2019-05-31,29
2019-06-28,29
2019-07-31,29
2019-08-30,29
2019-09-30,30
2019-10-31,30
2019-11-29,30
2019-12-31,30
2020-01-31,30
2020-02-28,30
2020-03-31,30
2020-04-30,30
2020-05-29,30
2020-06-30,30
2020-07-31,31
2020-08-31,31
2020-09-30,31
2020-10-30,31
2020-11-27,31
2020-12-31,31
2021-01-29,31
2021-02-26,31
2021-03-31,32
2021-04-30,32
2021-05-31,32
2021-06-30,32
2021-07-30,33
2021-08-31,33
2021-09-30,33
2021-10-29,33
2021-11-30,33
2021-12-31,33
2022-01-31,33
2022-02-28,33
2022-03-31,33
2022-04-29,33
2022-05-31,33
2022-06-30,33
2022-07-29,33
2022-08-30,33
2022-09-30,33
2022-10-31,33
2022-11-30,33
2022-12-30,33
2023-01-31,33
2023-02-28,33
2023-03-31,33
2023-04-28,33
2023-05-31,33
2023-06-30,33
2023-07-31,33
2023-08-31,33
2023-09-29,33
2023-10-31,33
2023-11-30,33
2023-12-29,33
2024-01-31,33
2024-02-29,33
2024-03-28,33
2024-04-30,33
2024-05-31,33
2024-06-28,33
2024-07-31,33
2024-08-30,33
2024-09-30,33
2024-10-31,33
2024-11-29,33
2024-12-31,33
2025-01-31,33
2025-02-28,33
2025-03-28,33
2025-04-30,33
2025-05-30,33
2025-06-30,33
2025-07-31,33
2025-08-29,33
2025-09-30,33
2025-10-31,33
2025-11-28,33
2025-12-31,33
2026-01-30,33
2026-02-27,33
2026-03-30,31
2026-04-30,32
2026-05-29,33
2026-06-30,34
2026-07-31,34
