"sigma","cool","DD_reduction","FP_rate"
2,5,0.277804883503682,97.6608187134503
2.5,5,0.180202051915689,96.0905349794239
3,5,0.110405011633318,95.5445544554455
3.5,5,0.0971163995056515,100
4,5,0.0971163995056515,100
2,10,0.29498416052859,97.9432624113475
2.5,10,0.242344745890499,96.6244725738397
3,10,0.125891101289145,95.4397394136808
3.5,10,0.0971163995056515,100
4,10,0.0971163995056515,100
2,20,0.308487285967642,98.1348637015782
2.5,20,0.274505859375982,97.0562770562771
3,20,0.190445210687079,95.3398058252427
3.5,20,0.0971163995056515,100
4,20,0.0971163995056515,100
